BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
11-286383,False,False,False,False,True,False,False,
13-125056,False,False,False,False,False,False,True,
15-165859,False,True,False,False,False,False,False,
15-23101,False,False,False,False,True,False,False,
17-23174,False,False,False,False,False,False,True,
16-111116,False,True,False,False,False,False,False,
16-114210,False,False,False,False,False,False,False,
16-117139,False,False,False,False,True,False,False,
17-39752,False,False,False,True,False,False,False,
16-119966,False,False,False,False,True,False,False,
16-123832,False,False,False,False,True,False,False,
16-123836,False,False,False,False,True,False,False,
16-127127,False,False,False,False,True,False,False,
16-134794,False,False,False,False,False,False,False,
16-139492,False,False,False,False,False,True,False,
16-139807,False,False,False,False,False,False,False,
17-38790,False,False,False,False,True,False,False,
16-147430,False,False,False,False,False,True,False,
16-148388,False,False,False,False,False,False,True,
16-151392,False,False,False,True,False,False,False,
16-151704,False,False,False,True,False,False,False,
16-151920,False,False,False,True,False,False,False,
16-152597,False,False,False,True,False,False,False,
16-153620,False,False,False,False,True,False,False,
16-155371,False,False,False,False,True,False,False,
16-156004,False,False,False,False,True,False,False,
16-157628,False,False,False,True,False,False,False,
16-159474,False,False,False,False,False,True,False,
16-161176,False,True,False,False,False,False,False,
16-162739,False,False,False,False,False,False,False,
16-163369,False,True,False,False,False,False,False,
16-164404,False,False,False,False,False,False,True,
16-164499,False,False,False,False,False,False,True,
16-164829,False,False,False,False,True,False,False,
16-165101,False,False,False,False,True,False,False,
16-166346,False,False,False,False,False,False,True,
17-25414,False,False,False,False,False,False,False,
17-17267,False,False,False,False,False,False,False,
16-167595,False,False,False,False,False,False,True,
16-167717,False,False,False,False,True,False,False,
16-168367,False,False,False,False,False,False,True,
16-169325,False,True,False,False,False,False,False,
16-169564,False,False,False,False,True,False,False,
16-169715,False,False,False,False,True,False,False,
16-170902,False,True,False,False,False,False,False,
16-171144,False,False,False,False,False,False,True,
16-171828,False,False,False,False,True,False,False,
16-172179,False,False,False,False,True,False,False,
16-172204,False,False,False,False,True,False,False,
16-172676,False,False,False,False,False,False,True,
16-172885,False,False,False,False,True,False,False,
16-173091,False,False,False,False,True,False,False,
16-173227,False,True,False,False,False,False,False,
16-173371,False,False,False,False,False,False,True,
16-174004,False,False,False,False,False,True,False,
16-174230,False,False,False,False,False,False,True,
16-174546,False,False,False,False,False,False,False,
16-174672,False,False,False,True,False,False,False,
16-174888,False,False,False,False,True,False,False,
16-175089,False,False,False,False,False,False,True,
16-175093,False,False,False,False,False,False,True,
16-175358,False,False,False,False,True,False,False,
16-175562,False,False,False,False,True,False,False,
16-175588,False,False,False,False,False,False,True,
16-175604,False,False,False,False,True,False,False,
16-175615,False,False,False,False,True,False,False,
16-176159,False,False,False,False,True,False,False,
16-176177,False,False,False,False,True,False,False,
16-176327,False,False,False,False,True,False,False,
16-176460,False,False,False,False,False,False,True,
16-176619,False,True,False,False,False,False,False,
16-176678,False,False,False,False,False,False,True,
16-176844,False,False,False,False,True,False,False,
16-176878,False,False,False,False,True,False,False,
16-177062,False,False,True,False,False,False,False,
16-177137,False,False,False,True,False,False,False,
16-177250,False,False,False,False,False,False,True,
16-177271,False,False,False,False,False,False,True,
16-177364,False,False,False,False,True,False,False,
16-177398,False,False,False,False,True,False,False,
16-177601,False,False,True,False,False,False,False,
16-178008,False,False,False,False,True,False,False,
16-178013,False,False,False,False,True,False,False,
16-178071,False,False,False,False,False,False,True,
16-178507,False,False,False,False,True,False,False,
16-178694,False,False,False,True,False,False,False,
16-178695,False,False,False,False,False,True,False,
16-178846,False,False,False,True,False,False,False,
16-178891,False,True,False,False,False,False,False,
16-178956,False,False,False,False,True,False,False,
16-178960,False,False,False,False,True,False,False,
16-178993,False,False,False,True,False,False,False,
16-179050,False,False,False,True,False,False,False,
16-179129,False,False,False,False,False,False,True,
16-179161,False,False,False,False,True,False,False,
17-16959,False,False,True,False,False,False,False,
16-179279,False,False,False,False,False,True,False,
16-179645,False,False,False,False,False,False,False,
16-179718,False,False,False,False,False,False,True,
16-179760,False,False,False,False,False,False,True,
16-179980,False,False,False,False,True,False,False,
16-180172,False,False,False,False,False,True,False,
16-180189,False,False,False,True,False,False,False,
16-180207,False,False,False,False,True,False,False,
16-180216,False,False,False,False,True,False,False,
16-180495,False,False,False,False,True,False,False,
17-37737,False,False,False,False,True,False,False,
16-180996,False,False,False,False,True,False,False,
16-181006,False,False,False,False,True,False,False,
16-181033,False,False,False,False,True,False,False,
16-181036,False,False,False,False,True,False,False,
16-181038,False,False,False,False,False,True,False,
16-181042,False,False,False,False,True,False,False,
16-181223,False,False,False,False,True,False,False,
16-181242,False,False,False,False,False,False,False,
16-181244,False,False,False,False,True,False,False,
16-181349,False,True,False,False,False,False,False,
16-181497,False,False,False,False,False,True,False,
16-181532,False,False,False,False,False,False,True,
16-181538,False,False,False,False,True,False,False,
16-181638,False,False,False,False,False,False,True,
16-181639,False,False,False,False,False,False,True,
16-181661,False,False,False,False,False,False,False,
16-181684,False,False,False,False,True,False,False,
16-181808,False,False,False,False,True,False,False,
16-181833,False,False,False,False,False,False,True,
16-182030,False,False,False,False,False,False,True,
16-182071,False,False,False,True,False,False,False,
16-182222,False,False,False,False,False,False,True,
16-182253,False,False,False,True,False,False,False,
16-182277,False,False,False,False,False,False,True,
16-182342,False,False,False,False,False,True,False,
16-182511,False,False,False,False,False,False,False,
16-182561,False,False,True,False,False,False,False,
16-182562,False,False,False,True,False,False,False,
16-182687,False,False,False,False,False,False,True,
16-182720,False,False,False,False,True,False,False,
16-182838,False,False,False,False,True,False,False,
16-182875,False,True,False,False,False,False,False,
16-182884,False,False,False,True,False,False,False,
16-183088,False,False,True,False,False,False,False,
16-183123,False,False,False,False,True,False,False,
17-18252,False,False,False,False,False,False,True,
16-183314,False,False,False,True,False,False,False,
16-183586,False,False,False,True,False,False,False,
16-183804,False,True,False,False,False,False,False,
16-183869,False,False,False,False,False,True,False,
16-183870,False,False,False,False,False,True,False,
16-183952,False,False,False,True,False,False,False,
16-183960,False,False,False,True,False,False,False,
16-184006,False,False,False,False,False,False,True,
16-184041,False,False,False,False,True,False,False,
16-184348,False,False,False,False,True,False,False,
16-184382,False,False,False,False,False,False,True,
16-184406,False,False,False,False,True,False,False,
16-184486,False,False,False,False,False,True,False,
16-184511,False,False,False,False,True,False,False,
16-184652,False,False,False,False,False,False,False,
16-184665,False,False,False,False,False,False,True,
16-184674,False,False,False,False,False,False,True,
16-184689,False,False,False,True,False,False,False,
16-184758,False,False,False,False,True,False,False,
16-184845,False,False,False,False,False,False,True,
16-184847,False,False,False,False,True,False,False,
17-18991,False,False,False,False,True,False,False,
16-184933,False,False,False,True,False,False,False,
16-184936,False,True,False,False,False,False,False,
16-185004,False,False,False,False,False,False,True,
16-185045,False,False,False,True,False,False,False,
16-185068,False,False,False,True,False,False,False,
16-185080,False,False,False,True,False,False,False,
16-185084,False,False,False,False,False,False,False,
16-185106,False,False,False,False,True,False,False,
16-185144,False,False,False,False,True,False,False,
16-185269,False,False,False,False,False,False,False,
16-185334,False,False,False,False,False,True,False,
16-185359,False,True,False,False,False,False,False,
16-151323,False,False,False,False,False,False,False,
16-185508,False,False,False,False,True,False,False,
16-185551,False,False,False,False,False,False,True,
16-185586,False,False,False,False,False,False,True,
16-185685,False,False,False,False,True,False,False,
16-185686,False,False,False,False,True,False,False,
16-185695,False,False,False,True,False,False,False,
16-185716,False,False,False,False,False,False,True,
16-185747,False,False,False,True,False,False,False,
16-185754,False,False,False,False,True,False,False,
16-185760,False,False,False,False,True,False,False,
16-185763,False,False,False,False,False,False,True,
16-185805,False,False,False,False,False,False,True,
16-185810,False,False,False,False,False,False,True,
17-19543,False,False,False,False,False,False,False,
16-185817,False,False,False,False,False,True,False,
16-185819,False,False,False,True,False,False,False,
16-185823,False,False,False,False,True,False,False,
16-185842,False,False,False,True,False,False,False,
16-185870,False,False,False,False,False,False,False,
16-185887,False,False,False,True,False,False,False,
16-185895,False,False,False,True,False,False,False,
17-25546,False,False,False,False,False,True,False,
16-186007,False,False,False,False,True,False,False,
16-186010,False,False,False,False,True,False,False,
16-186029,False,False,False,False,True,False,False,
16-186098,False,False,False,False,False,False,False,
17-21568,False,False,False,True,False,False,False,
16-186123,False,False,False,False,True,False,False,
16-186136,False,False,False,False,True,False,False,
16-186144,False,False,False,False,True,False,False,
16-186150,False,False,False,False,False,True,False,
16-186158,False,False,False,False,False,False,False,
16-186208,False,False,False,False,True,False,False,
16-186220,False,False,False,False,False,False,True,
16-186264,False,False,False,False,False,False,True,
16-186294,False,False,False,False,False,False,True,
16-186306,False,False,False,False,False,False,True,
16-186388,False,False,False,False,False,False,False,
16-42337,False,False,False,False,True,False,False,
17-100,False,True,False,False,False,False,False,
17-10006,False,False,False,False,False,False,False,
17-10007,False,False,False,False,True,False,False,
17-10008,False,False,False,False,False,False,True,
17-10010,False,False,False,True,False,False,False,
17-10011,False,False,False,False,False,False,True,
17-10012,False,False,False,False,True,False,False,
17-10014,False,False,False,False,True,False,False,
17-10019,False,False,False,False,False,False,True,
17-10022,False,False,False,False,True,False,False,
17-10026,False,False,False,False,False,False,False,
17-10032,False,False,False,False,False,False,False,
17-10034,False,False,False,True,False,False,False,
17-10035,False,False,False,False,True,False,False,
17-10036,False,False,False,True,False,False,False,
17-10037,False,False,False,False,False,False,True,
17-10040,False,False,False,False,True,False,False,
17-10043,False,False,False,False,False,False,False,
17-10047,False,False,False,False,False,False,True,
17-10048,False,False,False,False,False,False,False,
17-10049,False,False,False,False,False,False,True,
17-10050,False,False,False,False,False,False,False,
17-10054,False,False,False,True,False,False,False,
17-10057,False,False,False,True,False,False,False,
17-1006,False,False,False,False,True,False,False,
17-10060,False,False,False,False,True,False,False,
17-10063,False,False,False,False,True,False,False,
17-10065,False,False,False,False,False,False,False,
17-1007,False,False,False,False,False,False,True,
17-10073,False,False,False,False,False,False,True,
17-10085,False,False,False,True,False,False,False,
17-10087,False,False,False,False,False,False,True,
17-10088,False,False,False,False,False,False,True,
17-36644,False,False,False,False,False,False,True,
17-10090,False,False,False,False,True,False,False,
17-10092,False,False,False,False,True,False,False,
17-10093,False,False,False,True,False,False,False,
17-25829,False,False,False,False,True,False,False,
17-10097,False,False,False,False,False,True,False,
17-26040,False,False,False,False,False,False,True,
17-101,False,False,False,False,True,False,False,
17-10103,False,False,False,False,True,False,False,
17-10106,False,False,False,False,True,False,False,
17-10108,False,False,False,False,False,False,True,
17-10109,False,False,False,False,False,False,True,
17-1011,False,True,False,False,False,False,False,
17-10112,False,False,False,False,False,True,False,
17-10118,False,False,False,True,False,False,False,
17-10119,False,False,False,False,False,False,True,
17-10121,False,False,False,True,False,False,False,
17-25021,False,False,False,False,False,False,True,
17-10123,False,False,False,False,False,False,True,
17-10124,False,False,False,True,False,False,False,
17-10125,False,False,False,False,True,False,False,
17-10128,False,False,False,False,True,False,False,
17-10129,False,False,False,False,True,False,False,
17-1013,False,False,False,False,False,False,False,
17-10135,False,False,False,False,False,True,False,
17-10136,False,False,False,False,True,False,False,
17-10137,False,False,False,False,False,False,False,
17-10147,False,False,False,False,True,False,False,
17-10148,False,False,False,False,True,False,False,
17-10150,False,False,False,False,False,False,False,
17-10151,False,False,False,False,False,False,False,
17-10153,False,False,False,False,True,False,False,
17-25774,False,False,False,True,False,False,False,
17-10156,False,True,False,False,False,False,False,
17-24920,False,False,False,False,False,False,False,
17-40632,False,False,False,False,True,False,False,
17-10160,False,False,False,False,False,False,False,
17-10161,False,False,False,False,False,False,False,
17-10163,False,False,False,False,False,False,False,
17-10166,False,False,False,False,False,False,True,
17-10168,False,False,False,False,False,False,True,
17-10169,False,False,False,False,True,False,False,
17-1017,False,False,False,False,True,False,False,
17-10171,False,False,False,False,True,False,False,
17-10173,False,False,False,False,False,False,True,
17-10175,False,False,False,False,True,False,False,
17-10181,False,False,False,False,True,False,False,
17-26493,False,False,False,False,False,True,False,
17-10196,False,False,False,False,True,False,False,
17-1020,False,False,False,True,False,False,False,
17-10206,False,False,False,False,True,False,False,
17-10212,False,False,False,False,False,False,False,
17-10216,False,False,False,False,False,False,False,
17-10223,False,False,False,False,False,True,False,
17-10224,False,False,False,False,True,False,False,
17-10232,False,False,False,False,False,False,False,
17-10233,False,False,False,False,False,False,False,
17-10236,False,False,False,True,False,False,False,
17-10240,False,False,False,False,False,False,False,
17-10242,False,False,False,False,True,False,False,
17-10243,False,False,False,False,False,False,True,
17-10245,False,False,False,False,False,False,True,
17-10246,False,False,False,False,False,False,False,
17-10248,False,False,False,False,False,False,False,
17-10249,False,False,False,False,True,False,False,
17-27519,False,False,False,False,False,False,True,
17-10253,False,False,False,False,False,False,False,
17-10258,False,False,False,False,False,False,True,
17-10259,False,False,False,False,True,False,False,
17-10260,False,False,False,False,True,False,False,
17-10262,False,False,False,True,False,False,False,
17-10263,False,False,False,False,False,False,False,
17-10272,False,False,False,False,False,True,False,
17-10275,False,False,True,False,False,False,False,
17-10277,False,False,False,True,False,False,False,
17-10278,False,False,False,True,False,False,False,
17-10282,False,False,False,False,True,False,False,
17-10286,False,False,False,False,True,False,False,
17-10287,False,False,False,False,True,False,False,
17-10288,False,False,False,True,False,False,False,
17-1029,False,False,False,False,True,False,False,
17-10290,False,False,False,False,True,False,False,
17-10292,False,False,False,False,True,False,False,
17-10293,False,False,False,False,True,False,False,
17-26694,False,True,False,False,False,False,False,
17-10305,False,False,False,False,True,False,False,
17-10307,False,True,False,False,False,False,False,
17-10317,False,False,False,False,True,False,False,
17-10318,False,False,False,False,True,False,False,
17-26809,False,False,False,False,True,False,False,
17-10323,False,False,False,False,False,False,True,
17-10324,False,False,False,False,False,False,False,
16-168425,False,False,False,False,False,False,True,
17-10330,False,False,False,False,False,False,True,
17-10331,False,False,False,False,True,False,False,
17-10335,False,False,False,False,True,False,False,
17-10336,False,False,False,False,True,False,False,
17-10337,False,False,False,False,True,False,False,
17-10342,False,False,False,False,False,True,False,
17-10343,False,False,False,True,False,False,False,
17-10344,False,False,False,True,False,False,False,
17-10345,False,False,False,False,True,False,False,
17-10346,False,False,False,False,True,False,False,
17-10348,False,False,False,False,False,False,True,
17-10351,False,False,False,False,False,False,True,
17-26961,False,False,False,False,False,False,True,
17-10360,False,False,False,False,False,True,False,
17-10370,False,False,False,False,False,True,False,
17-10373,False,False,False,False,True,False,False,
17-28062,False,False,False,False,False,False,True,
17-10375,False,False,False,False,False,True,False,
17-10378,False,False,False,True,False,False,False,
17-1038,False,False,False,True,False,False,False,
17-10383,False,False,False,False,False,False,True,
17-10386,False,False,False,False,True,False,False,
17-10387,False,False,False,False,True,False,False,
17-10388,False,False,False,False,False,True,False,
17-10389,False,False,False,False,True,False,False,
17-1039,False,False,False,False,False,False,False,
17-10393,False,False,True,False,False,False,False,
17-10394,False,False,False,False,False,False,False,
17-104,False,False,False,False,True,False,False,
17-1040,False,False,False,False,False,False,True,
17-10400,False,False,False,True,False,False,False,
17-10401,False,False,False,False,False,False,True,
17-10404,False,False,False,False,False,False,False,
17-10408,False,False,False,False,False,True,False,
17-1041,False,False,False,True,False,False,False,
17-10416,False,False,False,False,True,False,False,
17-10418,False,False,False,True,False,False,False,
17-10422,False,False,False,False,False,False,False,
17-10424,False,False,False,False,True,False,False,
17-26963,False,False,False,False,False,False,False,
17-10432,False,False,False,False,True,False,False,
17-10437,False,True,False,False,False,False,False,
17-10440,False,False,False,False,True,False,False,
17-10442,False,False,False,False,True,False,False,
17-10455,False,False,False,True,False,False,False,
17-10464,False,False,False,False,False,False,False,
17-10465,False,False,False,False,False,False,True,
17-25667,False,False,False,False,True,False,False,
17-10467,False,False,False,False,False,True,False,
17-10469,False,False,False,False,True,False,False,
17-1047,False,False,False,True,False,False,False,
17-10471,False,False,False,False,False,False,False,
17-10472,False,False,False,False,True,False,False,
17-10474,False,False,False,False,False,False,True,
17-10475,False,False,False,False,False,False,False,
17-10477,False,False,False,False,False,False,False,
17-10482,False,False,False,False,True,False,False,
17-10484,False,False,False,False,False,True,False,
17-26893,False,False,False,False,False,False,False,
17-10490,False,False,False,False,True,False,False,
17-26938,False,False,False,False,True,False,False,
17-10495,False,False,False,False,False,False,False,
17-10496,False,False,False,False,False,False,True,
17-105,False,False,False,False,True,False,False,
17-8133,False,False,False,True,False,False,False,
17-10501,False,False,False,False,False,False,False,
17-10503,False,False,False,False,False,False,True,
16-175858,False,False,False,False,True,False,False,
17-10507,False,True,False,False,False,False,False,
17-10512,False,False,False,False,False,False,False,
17-10513,False,False,False,False,True,False,False,
17-10517,False,False,True,False,False,False,False,
17-10518,False,False,False,False,False,True,False,
17-10520,False,False,False,False,False,False,True,
17-10521,False,False,False,False,False,False,False,
17-10522,False,False,False,False,True,False,False,
17-10526,False,False,False,False,False,False,False,
17-26712,False,False,False,True,False,False,False,
17-10528,False,False,False,False,False,False,False,
17-1053,False,False,False,False,False,False,True,
17-10530,False,False,False,False,False,False,True,
17-10531,False,False,False,False,False,False,False,
17-10534,False,False,False,False,False,False,True,
17-10536,False,False,False,True,False,False,False,
17-10538,False,False,False,False,False,False,False,
17-10541,False,False,False,False,True,False,False,
17-10543,False,False,False,False,False,False,True,
17-10544,False,False,False,False,True,False,False,
17-10547,False,False,False,True,False,False,False,
17-10549,False,False,False,False,False,True,False,
17-1055,False,False,False,False,False,False,True,
17-10550,False,False,False,False,False,False,True,
17-10553,False,False,False,False,False,False,False,
17-10554,False,False,False,False,True,False,False,
17-10555,False,False,False,True,False,False,False,
17-10557,False,True,False,False,False,False,False,
17-10558,False,False,False,False,True,False,False,
17-10559,False,False,False,False,False,False,True,
17-1056,False,False,False,False,False,False,True,
17-10564,False,False,False,False,False,False,True,
17-10566,False,False,False,False,True,False,False,
17-10567,False,False,True,False,False,False,False,
17-10578,False,False,False,False,True,False,False,
17-10579,False,False,False,False,True,False,False,
17-1058,False,False,False,False,False,False,True,
17-10583,False,False,False,False,False,False,False,
17-10585,False,False,False,False,False,False,True,
17-10587,False,True,False,False,False,False,False,
17-10591,False,False,False,False,True,False,False,
17-10594,False,False,False,False,True,False,False,
17-10598,False,False,False,False,True,False,False,
17-10599,False,False,False,False,False,False,True,
17-10604,False,False,False,False,True,False,False,
17-10608,False,False,False,False,False,False,False,
17-1061,False,True,False,False,False,False,False,
17-10610,False,False,False,False,True,False,False,
17-10612,False,False,False,False,False,False,True,
17-10615,False,False,False,False,False,False,False,
17-10616,False,False,False,False,False,False,True,
17-10619,False,False,False,False,False,False,False,
17-10623,False,False,False,False,True,False,False,
17-10625,False,False,False,True,False,False,False,
17-10626,False,False,False,False,True,False,False,
17-10629,False,False,False,True,False,False,False,
17-10630,False,False,False,True,False,False,False,
17-10631,False,False,False,True,False,False,False,
17-10632,False,False,False,False,True,False,False,
17-10634,False,False,False,True,False,False,False,
17-10638,False,False,False,False,True,False,False,
17-10639,False,False,False,False,False,False,False,
17-1064,False,False,False,False,True,False,False,
17-10640,False,False,False,False,True,False,False,
17-10645,False,False,False,False,False,False,False,
17-10652,False,True,False,False,False,False,False,
17-26505,False,True,False,False,False,False,False,
17-10656,False,False,False,False,True,False,False,
17-10657,False,False,False,False,False,False,True,
17-10660,False,False,False,False,True,False,False,
17-10661,False,False,False,False,False,False,True,
17-10663,False,False,False,False,False,False,True,
17-10664,False,False,False,False,False,False,False,
17-10666,False,False,False,False,True,False,False,
17-27173,False,False,False,False,True,False,False,
17-10669,False,True,False,False,False,False,False,
17-10678,False,False,False,False,False,False,False,
17-10685,False,False,False,False,False,False,True,
17-10687,False,False,False,False,True,False,False,
17-10689,False,False,False,False,False,False,True,
17-1069,False,False,False,False,False,False,False,
17-10692,False,False,False,True,False,False,False,
17-10694,False,False,False,False,False,False,True,
17-10696,False,False,False,False,False,False,False,
17-10697,False,False,False,False,False,False,True,
17-107,False,False,False,False,False,True,False,
17-1070,False,True,False,False,False,False,False,
17-10705,False,False,False,False,True,False,False,
17-10707,False,False,False,False,False,False,True,
17-10708,False,False,False,False,True,False,False,
17-10714,False,False,False,False,True,False,False,
17-10717,False,False,False,False,False,False,False,
17-10718,False,False,False,False,False,False,True,
17-10719,False,False,False,True,False,False,False,
17-10723,False,False,False,False,True,False,False,
17-10727,False,False,False,False,True,False,False,
17-1073,False,False,False,False,False,True,False,
17-10732,False,False,False,False,False,False,True,
17-10733,False,False,False,False,False,False,False,
17-10735,False,False,False,False,True,False,False,
17-10736,False,False,False,False,True,False,False,
17-10738,False,False,False,False,False,True,False,
17-10744,False,False,False,False,True,False,False,
17-1075,False,True,False,False,False,False,False,
17-10750,False,False,False,False,True,False,False,
17-10759,False,False,False,False,True,False,False,
17-1076,False,False,False,False,True,False,False,
17-10761,False,False,False,False,False,False,True,
17-10765,False,False,True,False,False,False,False,
17-10773,False,False,False,False,True,False,False,
17-10775,False,True,False,False,False,False,False,
17-10776,False,False,False,False,False,False,False,
17-10777,False,False,False,False,True,False,False,
17-1078,False,False,False,False,False,False,True,
17-10780,False,False,False,False,False,False,True,
17-10781,False,False,False,False,False,False,True,
17-10786,False,False,False,False,False,False,False,
17-10787,False,False,False,False,False,False,True,
17-10788,False,False,False,False,False,False,True,
17-1079,False,False,False,False,True,False,False,
17-10793,False,False,False,False,False,False,True,
17-27193,False,False,False,False,False,False,False,
17-10795,False,False,False,False,False,False,True,
17-10796,False,True,False,False,False,False,False,
17-10797,False,False,False,False,True,False,False,
17-36215,False,False,False,False,True,False,False,
17-10800,False,False,False,False,False,True,False,
17-10802,False,False,False,False,False,False,False,
17-10803,False,False,False,False,True,False,False,
17-10808,False,False,False,False,True,False,False,
17-10809,False,False,False,False,False,False,True,
17-1081,False,False,False,True,False,False,False,
17-10814,False,False,False,False,False,True,False,
17-10818,False,False,False,False,True,False,False,
17-10822,False,False,False,False,False,False,True,
