BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
11-278262,ENSOSP,None,DAAJ - Service marchés publics,,,1070 rue lieutenant parayre,13798,Aix en provence cedex 3,,04-42-39-04-00,,04-42-39-04-89,marches-publics@ensosp.fr,http://www.ensosp.fr/,http://www.eu-supply.com/ensosp.asp,,,,,False,False,,False,False
12-87528,Ville de Sathonay Village,None,M. le Maire de Sathonay Village,,,"1, rue Saint Maurice",69580,Sathonay Village,,,,04-78-22-36-09,,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,,,,,False,False,,False,False
17-5031,Conseil Général de Seine Saint Denis,None,,,FR106,99 avenue du général de Gaulle,93110,Rosny sous Bois,,(+33) -01-43-93-65-51,,(+33) -01-43-93-65-62,nchaplais@seinesaintdenis.fr,https://seine-saint-denis.fr,https://marches.maximilien.fr,,https://marches.maximilien.fr,https://marches.maximilien.fr,,False,True,,False,True
16-102035,Ville de Labège,None,Mlle Tolfo Nathalie,,,Rue de la croix rose,31670,Labège,,,,,,,,,,,,False,False,,False,False
16-109901,MINDEF/TERRE/SIMMT,None,Monsieur le sous-directeur des contrats de la SIMMT,,,Sous Direction des contrats Etablissement ingénieur général Jayat. CS 30704Contact : Madame Véra CATANIA. Tel : (+33) 01 39 67 43 68. Fax : (+33) 01 39 67 28 02. Mail : vera.catania@intradef.gouv.fr,78013,Versailles,,,,,sdc.simmt@simmt.terre-net.defense.gouv.fr,,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,,,False,False,,False,False
16-122640,SDIS de l'Isère,None,,M. le président du conseil d'administration,FR714,"24 rue René Camphin,",38602,"Fontaine,",,(+33) 4-76-26-89-73,,(+33) 4-76-26-88-93,"gaf.marche.tous@sdis38.fr,",http://www.sdis38.fr,https://www.sdis38.achatpublic.com,,,https://www.sdis38.achatpublic.com,,False,True,,False,True
17-11823,Cté d'agglomération du Bassin de Thau,None, Service Commande Publique,,,BP 600,34110,Frontignan,,(+33) 4-67-46-47-62,,(+33) 4-67-46-47-65,marches-publics@thau-agglo.fr,http://www.thau-agglo.fr/,http://bassin-thau.marcoweb.fr,,,,,False,False,,False,False
16-129960,Synd. Dept. d'Energies d'Eure et Loir,None,,,FR242,,None,Lucé,,,,,contact@sde28.fr,http://sde28.fr,,,,,,False,True,,False,True
16-131071,DREAL PACA,None,DREAL PACA / Pôle Supports Intégrés / Unité de la Commande Publique,,,16 rue Antoine Zattara CS 70248,13331,Marseille Cedex 3,,04-88-22-61-68,,04-88-22-62-00,marchespublics.dreal-paca@developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,,,,,,False,False,,False,False
16-132653,COMMUNE BUTHIERS,None,Chabanaud Sandra,,,7 Rue des Roches,77760,Buthiers,,01-64-24-14-15,,01-64-24-10-15,mairie.buthiers@wanadoo.fr,,http://www.synapse-entreprises.com,,,,,False,False,,False,False
16-133618,Département de Seine Maritime,None,M. le Président du Département de Seine Maritime,,,Quai Jean Moulin,76101,Rouen cedex,,,,02-35-03-55-42,,http://www.seinemaritime.fr,,,,,,False,False,,False,False
16-134414,Commune du Tampon,None,,service des marchés publics,FR94,256 rue Hubert Delisle,97430,Le Tampon,,(+26) 2-62-57-86-32,,(+26) 2-62-57-87-38,smp@mairie-tampon.fr,http://www.webmarche.adullact.org,http://www.webmarche.adullact.org,,http://www.webmarche.adullact.org,http://www.webmarche.adullact.org,,False,True,,False,True
16-134530,SPL Côte d'Azur Aménagement,None,M.le Directeur Général,,,455 Promenade des Anglais,06364,Nice Cedex,,04-89-98-15-45,,,thomas.moulin@nicecotedazur.org,,,,,,,False,False,,False,False
16-135496,Grand Port Maritime de Marseille,None,,,FR824,,None,MARSEILLE,,,,,marches-gpmm@marseille-port.fr,"http://www.marches-publics.gouv.fr""",,,,,,False,True,,False,True
16-135840,D.I.R. Centre Est S.R.E.I. de Chambéry,None,Madame la directrice interdépartementale des routes Centre-Est par délégation préfectorale no2015083-0013 du 07/04/2015,,,"228, rue Garibaldi",69446,Lyon cedex 03,,,,,,http://www.enroute.centre-est.equipement.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
16-138580,Communauté d'Agglomération de Saintes,None,M. le président de la Communauté d'Agglomération de Saintes Jean-Claude CLASSIQUE,,,4 avenue de Tombouctou,17100,Saintes,,05-46-98-24-64,,05-46-92-35-97,marches-publics@ville-saintes.fr,http://www.agglo-saintes.fr,http://www.agglo-saintes.fr,,,,,False,False,,False,False
17-6550,commune de Mantes la Ville,None," NAUTH Cyril, Maire",,,Place de la Mairie BP 30842,78711,MANTES LA VILLE,,01-30-98-55-27,,,vtetart@manteslaville.fr,http://www.manteslaville.fr,http://www.marchespublics-idf-centre.fr,,,,,False,False,,False,False
16-141515,Cté de com de la Vallée de la Bruche,None,,,FR421,114 Grand'Rue,67130,SCHIRMECK,,(+33) 3-88-97-86-20,,(+33) 3-88-47-46-45,c.hild@valleedelabruche.fr,https://ipcserv.com/webao/appelsoffre,https://ipcserv.com/webao/appelsoffre,,,,,False,True,,False,True
16-146548,Ministère de l'éducation nationale,11004301500012,,,FR101,"Ministère de léducation nationale, de lenseignement supérieur et de la recherche,Secrétariat général,Service de laction administrative et des moyens,Mission des achats,pour la sous-direction de la gestion des ressources humaines pour ladministration centrale,Bureau de la gestion prévisionnelle et du dialogue social (SAAM A1), 61-65, rue Dutot 75732 Paris cedex 15",None,Paris,,(+33) 1-55-55-27-01,,,jean.prat@education.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
