BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
11-278262,,Les prestations sont réglées par mandat administratif. Le délai global de paiement est fixé par le décret no2013-269 du 29 mars 2013 soit un délai maximum de 30 jours.,Les groupements momentanés d'entreprises sont autorisés.Le Pouvoir Adjudicateur interdit aux candidats de présenter pour le marché plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements ou en qualité de membres de plusieurs groupements.Le marché sera attribué à une entreprise unique ou un groupement d'entreprises conjoints OU solidaires.,False,False,,False,True,True,CF_NIV_SUIV,,
12-87528,,"- financement : ressources propres de l'acheteur- délai global maximum de paiement de 30 jours, dans les conditions indiquées par le décret no2013-269 du 29 mars 2013- acomptes versés dans les conditions de l'article 114 du décret marchés publics- pas d'avance.",Les candidats se présentant en groupement d'entreprises sont informés que la forme du groupement est laissée à leur libre choix.,False,False,,False,True,True,CF_NIV_SUIV,,
17-5031,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
16-109901,,Ressources propres : Budget du ministère de la défense.Le délai de paiement est de 20 jours maximum.Le mode de règlement sera le virement administratif.L'ensemble des modalités de paiement est régi par l'article 97. I dt II du décret no2016-361 du 25 mars 2016. Ces dispositions fixent notamment les modalités de versement d'avances et d'acomptes.,"Conformément à l'article 38 du décret no2016-361 du mars 2016, les opérateurs économiques sont autorisés à se porter candidat sous forme de groupement conjoint ou solidaire.",False,False,,False,False,False,CF_NIV_SUIV,['FR'],
16-122640,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
17-11823,"Retenue de garantie de 5,000%, qui peut etre remplacée par une garantie à première demande ou à une caution personnelle et solidaire. Garantie à première demande ou caution personnelle et solidaire couvrant 100,000% du montant de l'avance","Caractéristiques des prix : Prix global forfaitaire. Modalités de variation des prix : fermes actualisables. par tranche. Une avance de 5,000% sera accordée dans les conditions prévues au contrat. Modalité de règlement des comptes : selon les modalités du C.C.A.G.-P.I. Le délai global de paiement est de 30 jours. Modalités de financements : Budget : M14 Références : AT 820 9821 2031",Aucune forme de groupement imposée à l'attributaire,False,False,Délais d'exécution : Tranche Ferme: 5 mois - Tranche optionnelle (TO)1: 5 mois - TO 2: 4 mois - TO 3: 8 mois. Délais d'affermissement : de la tranche ferme et des TO 1 et 2 : à 12 mois à compter de la notification de la tranche ferme ; de la TO3 : à 24 mois à compter de la notification de la tranche ferme,False,True,False,CF_NIV_SUIV,['FR'],
16-133618,,,,False,False,,False,True,True,CF_NIV_SUIV,,
16-134414,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
16-135840,,"* 100% état ;* L'avance forfaitaire sera de 10%, pour un montant initial de bon de commande supérieur à 50 000euros HT et une durée d'exécution supérieure à deux mois ;* Les prix seront révisables ;* Les comptes seront réglés mensuellement sous la forme d'acomptes et d'un solde ;* Le délai global de paiement du règlement des comptes sera fixé à 30 jours","Chaque candidat ne pourra remettre, pour la présente consultation, qu'une seule candidature en agissant en qualité soit de candidat individuel, soit de membre d'un groupement. Le marché sera conclu :- soit avec un candidat unique ;- soit avec des candidats groupés solidaires (dans ce cas, le nom du mandataire doit être indiqué).- soit avec des candidats conjoints dont le mandataire est solidaire (dans ce cas, le nom du mandataire doit être indiqué)Le candidat communiquera les pouvoirs de la personne habilitée pour engager le candidat y compris, en cas de groupement, le cas échéant, les habilitations nécessaires pour représenter les entreprises au stade de la passation du marché.",False,False,l'entreprise devra être disponible pour intervenir dans les 2h suivant l'appel téléphonique,False,True,False,CF_NIV_SUIV,['FR'],
17-6550,"Aucune retenue de garantie ne sera appliquée.OU BIEN Une retenue de garantie de 5% sera prélevée sur le montant de chaque acompte par le comptable assignataire des paiements (articles 122 à 124 du décret). Cette retenue de garantie peut être remplacée au gré du titulaire par une garantie à première demande ou par une caution personnelle et solidaire.Si le Titulaire ne la refuse pas dans l'acte d'engagement, une avance peut lui être versée dans les conditions prévues aux articles 110 à 113 du décret.","Le marché sera financé sur le budget de la commune de Mantes la Ville (ressources publiques propres).Les sommes dues au(x) titulaire(s) du marché, seront payées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes de paiement équivalentes","L'offre, qu'elle soit présentée par une seule entreprise ou par un groupement, devra indiquer tous les sous-traitants connus lors de son dépôt. Elle devra également indiquer les prestations (et leurs montants) dont la sous-traitance est envisagée, la dénomination et la qualité des sous-traitants qui l'exécuteront à la place du titulaire, sauf lorsque le montant est inférieur à 600 Euros T.T.C.Les candidats ne peuvent présenter plusieurs offres en agissant à la fois :- en qualité de candidats individuels et de membres d'un ou plusieurs groupements,- en qualité de membres de plusieurs groupements.Les opérateurs économiques sont autorisés à se porter candidat sous forme de groupement solidaire ou de groupement conjoint avec mandataire solidaire, sous réserve du respect des règles relatives à la concurrence.En cas de groupement, la forme souhaitée par le pouvoir adjudicateur est un groupement conjoint avec mandataire solidaire. Si le groupement attributaire du marché est d'une forme différente, il pourra se voir contraint d'assurer sa transformation pour se conformer au souhait du pouvoir adjudicateur afin de faciliter l'exécution du marché tant sur les aspects techniques que financiers, conformément aux articles 45-II et 48-II du Décret",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
16-149280,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
