BOAMP_AVIS_NUM,D_14_01_Conditionparticipationsystmequalif_Conditions,D_14_02_Conditionparticipationsystmequalif_Methodeverification
16-182563,Conformément au réglement de consultation,
17-10306,"Le marché sera attribué à un titulaire ou à un groupement conjoint solidaire. Le bureau d'études chargé de l'ingénierie CVC sera mandataire.La consultation s'adresse obligatoirement à des candidats individuels ou à des groupements ayant les compétences suivantes : - Un ou des bureaux disposant des compétences suivantes : CVC, performance énergétique, conception de salle blanche, électricité et courants faibles, OPC. Mission de base loi MOP avec DIAG et OPC.",
17-15851,"Diplôme d'architecte du patrimoine diplômé de l'école de Chaillot ou par un architecte titulaire du DSA, mention "" architecture et patrimoine "" ou de tout autre diplôme européen équivalent.Inscription à un tableau régional de l'ordre des architectes en vertu des dispositions de l'article 10 de la loi du 3 janvier 1977,",Remise des copie des diplômes obtenus et carte d'inscription à l'Ordre
17-16130,Cf. règlement de consultation,
17-16804,"Il s'agit d'un marché public réservé à des structures d'insertion par l'activité économique (SIAE) mentionnées à l'article L. 5132-4 du code du travail et à des structures équivalentes, lorsqu'elles emploient une proportion minimale de 50% de travailleurs défavorisés.","Le candidat produit tout document permettant de justifier qu'il entre bien dans le cadre de ce marché réservé, par exemple une copie de la convention passée entre le candidat et la DIRECCTE, de l'année en cours afin de justifier de son statut de SIAE."
17-17051,Voir règlement de consultation,
17-18502,Neant,Neant
17-19319,"Ne seront pas admises :- Les candidatures qui ne seront pas recevables en application des articles 48 et 51 du décret no 2016-360 du 25 mars 2016,- Les candidatures qui ne seront pas accompagnées des pièces mentionnées à l'article 50 du décret no 2016-360 du 25 mars 2016 et fixées à l'article 5-1-1 du règlement de consultation,- Les candidatures qui ne présentent pas des garanties techniques et financières suffisantes.",
17-20122,"Forme juridique de l'attributaire :Les candidats pourront soumissionner à titre individuel ou sous la forme de groupement d'opérateurs économiques. Aucune forme de groupement n'est imposée pour l'exécution du marché.Il est interdit aux candidats de présenter pour le marché plusieurs offres en agissant à la fois 1º En qualité de candidats individuels et de membres d'un ou plusieurs groupements ;2º En qualité de membres de plusieurs groupements.En cas de participation en groupement, les candidats indiqueront obligatoirement dans l'acte d'engagement l'identité du mandataire, des autres membres du groupement, ainsi que la forme du groupement.Il est exigé que le candidat individuel, ou l'ensemble des membres du groupement candidat, ne fassent pas l'objet d'une des interdictions de soumissionner prévues à l'article 45 de l'ordonnance no 2015-899 du 23 juillet 2015 relative aux marchés publics. A défaut, l'offre sera d'office rejetée.Les candidats devront fournir une offre complète comprenant l'ensemble des renseignements demandés à l'article 4 du présent règlement.En cas d'offre incomplète, la régie pourra demander aux candidats concernés de compléter leur offre, dans un délai qui n'excèdera pas dix jours.L'offre, qu'elle soit présentée par une seule entreprise ou par un groupement, devra indiquer tous les sous-traitants connus lors de son dépôt. Elle devra également indiquer les prestations (et leur montant) dont la sous-traitance est envisagée, la dénomination et la qualité des sous-traitants qui l'exécuteront à la place du titulaire.",
