BOAMP_AVIS_NUM,D_15_01_Conditionadministrative_Referencemarche,D_15_02_Conditionadministrative_Etudesconcours,D_15_03_Conditionadministrative_Recompenseslaureatoui,D_15_04_Conditionadministrative_Recompensesaureatnon,D_15_05_Conditionadministrative_Recompenseslaureat,D_15_06_Conditionadministrative_Indemnisationparticipants,D_15_07_Conditionadministrative_Conditionsremiseoffres,D_15_08_Conditionadministrative_Conditionsetmodepaiementobtenirdocuments,D_15_09_Conditionadministrative_Datelimiteobtentiondocuments,D_15_10_Conditionadministrative_Documentpayantoui,D_15_10_01_Conditionadministrative_Documentpayantoui_Valeur,D_15_10_01_01_Conditionadministrative_Documentpayantoui_Valeur_Value,D_15_10_01_02_Conditionadministrative_Documentpayantoui_Valeur_Devise,D_15_11_Conditionadministrative_Documentpayantnon,D_15_12_Conditionadministrative_Persouvertureoffresoui,D_15_13_Conditionadministrative_Persouvertureoffresnon,D_15_14_Conditionadministrative_Datedebutattribution,D_15_15_Conditionadministrative_Dateouvertureoffres,D_15_16_Conditionadministrative_Lieuouvertureoffres,D_15_17_Conditionadministrative_Abandonsadoui,D_15_18_Conditionadministrative_Abandonsadnon,D_15_19_Conditionadministrative_Finattributionoui,D_15_20_Conditionadministrative_Finattributionnon,D_15_21_Conditionadministrative_Envoielectroniqueavecoutiloui,D_15_22_Conditionadministrative_Envoielectroniqueavecoutilnon
12-63526,2017-04,,False,False,,,conditions décrites dans le règlement de la consultation,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
13-84018,,,False,False,,,"Les plis seront remis, sous enveloppe, soit par la poste en recommandé avec accusé de réception, soit contre récépissé à l'adresse suivante :COMMUNE DE TALAISMairie de Talais6 route du Bourg - 33590 TALAIS",Remis gratuitement. Sur commande par télécopie au 05 56 73 17 69Ou par courriel: mairietalais@wanadoo.fr,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-184185,2017-CI/DG.COL.DECHETS-04,,False,False,,,"Elles sont au choix :- déposés sur le profil acheteur à l'adresse suivante : http://berri.marcoweb.fr- adressés par voie postale en RAR à l'adresse suivante :CIPAV, Pôle Achats et Marchés publics, 9, rue de Vienne,75403 Paris cedex 08- déposés au Pôle Achats et Marchés Publics de la CIPAV, contre récépissé, au 9 rue de Vienne, 75008 Paris, 7ème étage, Horaires d'ouverture : 9H00-12H00/ 14H00-16H30.","- par téléchargement à partir de l'adresse internet du profil acheteur : http://berri.marcoweb.fr- par retrait contre récépissé auprès du Pôle Achats et Marchés Publics de la CIPAV, 9 rue de Vienne, 75008 Paris, 7ème étage, Horaires d'ouverture : 9H00-12H00 / 14H00-16H30.",,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-90521,diversite17,,False,False,,,"Remise des plis par voie papier : Les plis devront être remis contre récépissé, ou reçus par la poste par pli recommandé avec avis de réception postal, avant la date et l'heure limite de remise des plis, à l'adresse suivante :Ville de Dijon, Direction de la Commande Publique Mutualisée, 11 bis rue Victor Dumay, CS 73310, 21033 Dijon cedex.Remise des plis par voie électronique :En cas de remise par voie électronique, les propositions sont envoyées à l'adresse internet suivante : www.achatpublic.com (sous la référence : ""diversite17"").","Les fichiers électroniques pourront être retirés gratuitement via la plate-forme ""achatpublic"" à l'adresse : www.achatpublic.com (sous la référence : ""diversite17""). Le retrait du dossier de consultation par voie électronique n'oblige pas le soumissionnaire à déposer son offre par voie électronique.",,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-100100,,,False,False,,,"Remise contre récépissé ou par pli recommandé avec accusé de réception sous enveloppe cachetée portant la mention "" Mission d'assistance à maîtrise d'ouvrage pour l'élaboration d'un Plan-guide pour la réalisation d'un dispositif de signalétique d'interprétation du Patrimoine urbain et paysager sur le territoire de la Commune de Pau"" parvenue avant le 19 avril 2017 à 16h30 délai de rigueur, à l'adresse suivante : Ville de Pau - Direction Juridique Foncier Logistique Achats - Site des @llées - 26 Avenue des Lilas - 64062 PAU Cedex 9Remise dématérialisée via le profil acheteur http://www.achatpublic.com - Réf. PAU 17/16",Retrait des dossiers de consultation :Ville de Pau - Direction Juridique Foncier Logistique Achats - Villa Ridgway - 26 Avenue des Lilas - 64 062 PAU Cedex 9 - T. : 05 47 05 30 31 - de 8h30 à 12h00 et de 13h30 à 16h30Par courrier à l'adresse indiquée ci-dessusPar fax : 0547053038Téléchargement : via la plate-forme http://www.achatpublic.com - salle des marchés - entreprises - réf. dossier PAU 17/16,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-111116,EPM-ANTIPROJ-ATMO,,False,False,,,"Les plis contenant les éléments de la candidature et de l'offre devront être transmis sous enveloppe cachetée, en recommandé avec AR ou contre récépissé déposé aux horaires suivants (entre 8h30 et 11h30 et entre 14h et 16h), et portant les mentions suivantes : 'Offre pour le marché d'Assistance Technique à Maîtrise d'ouvrage pour la création de structures antiprojections pour l'EPM de Meyzieu - NE PAS OUVRIR'.Les plis électroniques sont remis via la PLACE (cf. "" Renseignements complémentaires "").Les plis seront transmis par tout moyen permettant de déterminer de façon certaine la date et l'heure de leur réception et de garantir la confidentialité. Les plis parvenant après l'heure et la date indiquées ne seront pas acceptés.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-116565,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-05-02 00:00:00,,,False,False,False,False,True
16-117665,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-118808,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-118898,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-121696,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-135502,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
16-135855,16 R6 0092,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-137583,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-04-11 00:00:00,,,False,False,False,False,True
16-137832,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-04-26 00:00:00,,,False,False,False,False,True
16-139892,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
16-140849,DIRA-SIEER-16-49,,False,False,,,"Le dossier de consultation est à télécharger sur la plate-forme de dématérialisation (http://www.marches-publics.gouv.fr) sous la référence publique DIRA-SIEER-16-49, après avoir installé les pré-requis techniques et pris connaissance du manuel d'utilisation. Les offres transmises par échange électronique sur la plate-forme de dématérialisation sous la référence publique DIRA-SIEER-16-49, le seront suivant les modalités précisées dans le règlement de la consultation.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-143889,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-145705,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-145911,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-04-19 00:00:00,,,False,False,False,True,False
16-147132,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-04-13 00:00:00,,,False,False,False,False,True
16-148045,16 E4 0025,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-150166,,,False,False,,,"les candidats devront remettre l'ensemble des documents et renseignements demandés dans le règlement de consultation et disponibles à l'adresse suivante:https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2017_femGicK2Mh&v=1&selected=0/gen/ent_detail.do?PCSLID=CSL_2017_femGicK2Mh&v=1&selected=0/gen/ent_detail.do?PCSLID=CSL_2016_X4qrvoL4Ur&v=1&selected=0Les dossiers seront placés sous enveloppe cachetée qui portera la mention :'Apij - equipe 9- CSL Nanterre - marché de travaux pour la construction d'un centre de semi-liberté et des locaux des services pénitentiaires et de probation à Nanterre 92050 lot no10 revêtements de sols souples- ne pasouvrir '.Les offres devront :-Soit être déposées - du lundi au vendredi, sauf jour férié - (9h30 à 12h, 14h à 17h) contre récépissé au Service Juridique et des Marchés àL'Agence Publique pour l'immobilier de la Justice - 30 Rue du château des Rentiers - 75013 Paris - 8ème étage, bureau 820-Soit être adressées par voie postale sous pli recommandé avec avis de réception à l'agence Publique pour l'immobilier de la Justice - serviceJuridique et des Marchés - 30 Rue du château des Rentiers 75013 Paris.- soit être transmises par voie électronique à l'adresse https://www.achatpublic.com/sdm/ent/gen/index.do.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-150780,,,False,False,,,cf règlement de consultation,Le dossier est remis gratuitement sur demande par télécopie ou courriel; il est également disponible sur le profil acheteur du site de dématérialisation achatpublic.com,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-152638,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-155128,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-05-17 00:00:00,,,False,False,False,False,True
16-155871,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-157470,16S0036,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-158504,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-04-14 00:00:00,,,False,False,False,False,True
16-158860,NHO ASSURANCE DO,,False,False,,,"Le mode de transmission des candidatures se fait soit sur support papier soit par voie électronique. Les candidats sont tenus d'appliquer le même mode de transmission à l'ensemble des documents qu'ils adressent au pouvoir adjudicateur.Mode papier :Les dossiers de candidature seront adressés sous pli cacheté portant la mention 'Construction d'un nouvel hôpital à Obernai - marché d'assurance dommages ouvrage - ne pas ouvrir' ainsi que l'identité et les coordonnées du candidat (mandataire en cas de groupement).Les dossiers de candidatures seront soit adressés par voie postale, soit remis contre récépissé, exclusivement le dernier jour de 9 h à 12 h à l'adresse suivante : Groupe Hospitalier Sélestat-Obernai, direction des services économiques - 23 avenue Pasteur - BP 30248 - 67606 Sélestat Cedex.Voie électronique :Les plis électronique sont à remettre sur le profil d'acheteur du Groupe Hospitalier Sélestat-Obernai, https://www.marches-securises.frLes conditions de présentation des plis électroniques sont similaires à celles exigées pour les réponses sur support papier. Chaque transmission fera l'objet d'une date certaine de réception et d'un avis de réception électronique.Les certificats de signature utilisés pour signer électroniquement devront être conformes aux modalités de l'arrêté du 15 juin 2012.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-160839,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-02-17 00:00:00,,,False,False,False,False,True
16-161176,17-DIR-SPT-001,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-162133,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,True
16-162451,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-164734,NCA-16-0388,,False,False,,,,,2017-04-26 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
