BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
17-52624,False,False,False,True,False,False,False,
17-52626,False,True,False,False,False,False,False,
17-52627,False,False,False,False,False,False,False,
17-52631,False,False,False,True,False,False,False,
17-52635,False,False,False,False,True,False,False,
17-52638,False,False,False,False,False,False,True,
17-68728,False,False,False,True,False,False,False,
17-52648,False,False,False,False,False,False,False,
17-52650,False,False,False,False,False,False,True,
17-52651,False,False,False,False,True,False,False,
17-52652,False,False,False,False,True,False,False,
17-52656,False,False,True,False,False,False,False,
17-52657,False,False,False,False,True,False,False,
17-52658,False,False,False,False,True,False,False,
17-52659,False,False,True,False,False,False,False,
17-52666,False,False,False,False,False,False,True,
17-52667,False,False,False,False,False,False,False,
17-52670,False,False,False,False,True,False,False,
17-68814,False,False,True,False,False,False,False,
17-52679,False,False,False,False,True,False,False,
17-52681,False,False,False,False,False,True,False,
17-52683,False,False,False,True,False,False,False,
17-52684,False,False,False,False,False,False,True,
17-52685,False,False,False,True,False,False,False,
17-52686,False,False,False,False,True,False,False,
17-52688,False,True,False,False,False,False,False,
17-52690,False,False,True,False,False,False,False,
17-52692,False,False,False,False,True,False,False,
17-52693,False,False,False,False,False,False,False,
17-52695,False,False,True,False,False,False,False,
17-52699,False,False,False,False,False,False,False,
17-52702,False,False,False,False,True,False,False,
17-52704,False,False,True,False,False,False,False,
17-68237,False,False,False,False,True,False,False,
17-52709,False,False,False,False,False,False,True,
17-69211,False,False,False,False,False,False,True,
17-52716,False,False,False,False,True,False,False,
17-52719,False,False,False,False,True,False,False,
17-52720,False,False,False,True,False,False,False,
17-52723,False,False,False,False,True,False,False,
17-52726,False,False,False,False,False,False,True,
17-52727,False,False,False,False,True,False,False,
17-52731,False,True,False,False,False,False,False,
17-52732,False,False,False,False,False,False,True,
17-52733,False,False,False,False,False,False,False,
17-52735,False,False,False,False,False,False,True,
17-52736,False,False,False,False,False,False,False,
17-52737,False,False,False,False,False,False,False,
17-52739,False,False,False,False,True,False,False,
17-52743,False,False,False,False,False,False,False,
17-52745,False,False,False,True,False,False,False,
17-52746,False,False,False,False,True,False,False,
17-70470,False,False,False,False,False,True,False,
17-52748,False,False,False,True,False,False,False,
17-52752,False,False,True,False,False,False,False,
17-52753,False,False,False,False,False,False,False,
17-52760,False,False,False,False,True,False,False,
17-52761,False,False,True,False,False,False,False,
17-52763,False,False,False,False,False,False,True,
17-52768,False,False,False,False,False,False,True,
17-52771,False,True,False,False,False,False,False,
17-52772,False,True,False,False,False,False,False,
17-52773,False,False,False,False,True,False,False,
17-52774,False,False,False,False,False,False,True,
17-52775,False,False,False,False,True,False,False,
17-35329,False,False,False,False,False,False,True,
17-52778,False,True,False,False,False,False,False,
17-52779,False,False,True,False,False,False,False,
17-52780,False,False,True,False,False,False,False,
17-52781,False,False,False,False,False,True,False,
17-52782,False,False,False,False,False,True,False,
17-52783,False,False,False,False,False,False,False,
17-52785,False,False,False,False,False,False,False,
17-92393,False,False,False,False,True,False,False,
17-52788,False,False,False,False,True,False,False,
17-52793,False,False,False,False,False,False,False,
17-52795,False,False,False,False,False,False,False,
17-52797,False,False,False,False,False,False,False,
17-52798,False,False,False,False,False,False,False,
17-52799,False,True,False,False,False,False,False,
17-52800,False,False,False,False,True,False,False,
17-52801,False,False,False,True,False,False,False,
17-52803,False,False,False,True,False,False,False,
17-52804,False,True,False,False,False,False,False,
17-52805,False,False,False,False,True,False,False,
17-52806,False,False,False,False,False,True,False,
17-52808,False,False,False,False,False,False,True,
17-52809,False,False,False,True,False,False,False,
17-52810,False,False,False,False,False,False,True,
17-52812,False,True,False,False,False,False,False,
17-52813,False,True,False,False,False,False,False,
17-52814,False,False,False,False,True,False,False,
17-52816,False,False,False,False,True,False,False,
17-52818,False,False,False,False,True,False,False,
17-52819,False,False,False,False,False,False,False,
17-52820,False,False,False,False,True,False,False,
17-52824,False,False,False,False,False,False,True,
17-52826,False,False,False,False,False,False,False,
17-52827,False,False,False,False,False,True,False,
17-52828,False,False,False,False,False,True,False,
17-52830,False,False,False,False,False,False,True,
17-52831,False,False,False,False,True,False,False,
17-52832,False,False,False,False,False,False,True,
17-52835,False,False,False,True,False,False,False,
17-52836,False,True,False,False,False,False,False,
17-52837,False,False,False,False,False,False,False,
17-52838,False,True,False,False,False,False,False,
17-92268,False,False,False,False,False,False,False,
17-52843,False,False,False,False,False,False,False,
17-52845,False,False,False,False,True,False,False,
17-52847,False,False,False,False,True,False,False,
17-70555,False,False,False,False,True,False,False,
17-52851,False,True,False,False,False,False,False,
17-52852,False,False,False,False,False,False,True,
17-92156,False,False,False,False,False,False,False,
17-52856,False,False,False,True,False,False,False,
17-52858,False,False,False,False,True,False,False,
17-91715,False,False,False,False,False,False,False,
17-52864,False,False,False,False,False,True,False,
17-52866,False,False,False,False,True,False,False,
17-52867,False,False,False,True,False,False,False,
17-52874,False,False,False,False,True,False,False,
17-52876,False,False,False,False,True,False,False,
17-91909,False,False,False,False,True,False,False,
17-52880,False,False,True,False,False,False,False,
17-52883,False,False,False,False,True,False,False,
17-52885,False,False,False,False,False,False,True,
17-52886,False,False,False,True,False,False,False,
17-52887,False,False,False,False,False,False,False,
17-52888,False,False,False,False,False,True,False,
17-52889,False,False,False,False,True,False,False,
17-52892,False,False,False,False,False,False,False,
17-52893,False,True,False,False,False,False,False,
17-52897,False,False,False,False,False,False,True,
17-52899,False,True,False,False,False,False,False,
17-52900,False,False,False,False,False,False,False,
17-52904,False,False,False,False,False,False,False,
17-52908,False,True,False,False,False,False,False,
17-52911,False,False,False,False,False,True,False,
17-52912,False,False,False,False,False,False,False,
17-52913,False,False,False,False,False,True,False,
17-52914,False,False,False,True,False,False,False,
17-73766,False,False,False,False,False,False,False,
17-52918,False,False,False,True,False,False,False,
17-52920,False,False,False,False,True,False,False,
17-52922,False,False,False,False,False,True,False,
17-52926,False,False,False,False,False,False,True,
17-52928,False,False,False,False,True,False,False,
17-52934,False,True,False,False,False,False,False,
17-52938,False,False,False,False,True,False,False,
17-52941,False,False,False,False,False,False,False,
17-52942,False,False,False,False,False,False,False,
17-52945,False,False,False,False,False,False,False,
17-70644,False,False,False,True,False,False,False,
17-52950,False,False,False,False,False,False,True,
17-52951,False,False,False,False,False,False,True,
17-52952,False,False,False,False,False,True,False,
17-52953,False,False,False,True,False,False,False,
17-52957,False,False,False,False,True,False,False,
17-52959,False,False,False,False,True,False,False,
17-52960,False,False,False,False,True,False,False,
17-52961,False,False,False,False,False,False,True,
17-52962,False,False,False,True,False,False,False,
17-52963,False,False,False,False,False,False,True,
17-52964,False,False,False,True,False,False,False,
17-52967,False,False,False,False,True,False,False,
17-52968,False,False,False,False,False,False,True,
17-52975,False,False,False,False,False,False,True,
17-52977,False,False,False,False,True,False,False,
17-52981,False,False,False,False,True,False,False,
17-52982,False,True,False,False,False,False,False,
17-52986,False,False,False,False,False,True,False,
17-52988,False,False,False,False,False,False,False,
17-52989,False,True,False,False,False,False,False,
17-52992,False,False,False,False,False,False,False,
17-52993,False,False,False,False,True,False,False,
17-52997,False,False,False,False,False,False,False,
17-52998,False,False,False,False,True,False,False,
17-53001,False,False,False,False,False,False,False,
17-53004,False,False,False,False,False,True,False,
17-70439,False,False,False,False,True,False,False,
17-53006,False,False,False,False,False,False,True,
17-53008,False,False,False,False,True,False,False,
17-53009,False,False,False,False,False,False,True,
17-53010,False,False,False,False,False,False,False,
17-53011,False,False,False,False,True,False,False,
17-53012,False,False,False,False,True,False,False,
17-53013,False,False,False,False,False,False,True,
17-53016,False,False,False,False,True,False,False,
17-53018,False,False,False,False,True,False,False,
17-53019,False,False,False,False,True,False,False,
17-53020,False,False,True,False,False,False,False,
17-53022,False,False,False,False,False,False,False,
17-53023,False,False,False,False,True,False,False,
17-53024,False,False,False,False,True,False,False,
17-53025,False,False,False,False,True,False,False,
