BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
17-43912,False,False,False,False,False,False,False,,False,True,,,,False,"marché négocié sans publicité ni mise en concurrence préalables, passé en application de larticle 30-I-6 du décret no 2016-360 du 25 mars 2016 relatif aux marchés publics."
17-44455,False,False,False,True,False,False,False,,False,False,,,,False,"Le présent contrat est un marché de maintenance avancée et de fournitures concernant des équipements de terrain fixes et des équipements de terrain feux rouges pour lequel la société FARECO est détentrice d'un certificat de type sur ces matériels (certificat, attribué à une entité spécifique, qui atteste que le produit a subi avec succès une homologation auprès de l'organisme désigné par le ministère chargé de l'industrie), ce qui rend impossible toute concurrence. En effet, seul le titulaire du certificat de type est capable d'attester de la conformité des équipements et pièces détachées fournies avec le certificat de type. Toute pièce contrefaite ou non conforme rend l'équipement non conforme, et donc plus apte à assurer sa mission. Le recours à un autre fournisseur n'est donc pas possible. Ce qui justifie pleinement le recours à la procédure négociée sans publicité préalable ni mise en concurrence."
17-44522,False,False,False,False,False,True,False,,False,False,,,,False,"Le choix du mode de passation est justifié par le fait que le marché ne peut être confié quà la société CSSI pour des raisons tenant à la protection de droits dexclusivité dont cette dernière jouit.La société a fourni une attestation datée du 9 mai 2016 par laquelle elle certifie détenir un droit exclusif, pour une période de trois ans, pour la commercialisation, la distribution, la maintenance et lintégration du progiciel MRM 2. Dans un objectif dinteropérabilité applicative et de mutualisation des architectures, limplémentation et le développement des composants applicatifs a été conçu pour les rendre indissociables que ce soit dans leur intégration, leur maintenance et leur évolution.En conséquence, les prestations de maintenance de lapplication PASSAGE 2 ne peuvent être confiées quà la société CSSI dans le cadre dune procédure de marché négocié."
17-44859,False,False,False,False,False,True,False,,False,False,,,,False,La société DEAL INFORMATIQUE a l'exclusivité sur les prestations objet du marché
17-45070,True,False,False,False,False,False,False,,False,False,,,,False,"Ce marché négocié fait suite à un appel d'offres infructueux, pour lequel il n'a été reçu qu'une seule offre inappropriée"
17-45175,False,False,False,False,False,False,False,,False,False,,,,True,Il s'agit d'un avis d'intention de conclure à la suite d'un concours restreint d'architecture et d'ingénierie sur esquisse + en vue de désigner un maître d'oeuvre pour le projet de regroupement des services opérationnels municipaux.
17-45194,False,False,False,False,False,True,False,,False,False,,,,False,"Editeur du logiciel à soutenir, le titulaire dispose d'un droit de propriété intellectuelle."
17-84492,False,False,False,False,False,False,False,,False,False,,,,True,Le présent accord-cadre est un marché à procédure adaptée qui a fait l'objet d'un avis de marché publié au JOUE série S : 2016/S 230-418757.
17-45398,False,False,False,False,False,False,False,,False,True,,,,False,Marché de maîtrise d'uvre passé après concours restreint de maîtrise d'uvre conformément à l'article 30 - 6° du décret 2016-360 du 25 mars 2016 - (attribution d'un marché à un lauréat de concours)
17-45537,False,False,False,False,False,True,False,,False,False,,,,False,"Le SDIS de la Haute-Loire est équipée de la solution START qui lui donne entière satisfaction. L'exploitation du réseau ANTARES est cependant directement opérée par des modules de cette solution. La solution START est conçue, mise en oeuvre, maintenue et commercialisée uniquement par la société SYSTEL S.A. qui en détient les droits exclusifs. A ce titre, l'entreprise SYSTEL a fourni, par courrier du 29 août 2016, une attestation d'exclusivité et une preuve de dépôt du logiciel START à l'Agence de Protection des Programmes."
17-46013,True,False,False,False,False,False,False,,False,False,,,,False,"Le présent marché est passé suivant la procédure de marché négocié passé en vertu des articles 10, 35.II.3° et 77 du Code des Marchés Publics français et fait suite à un précédent appel doffres ouvert, définie aux articles 10, 33 alinéa 3, 57 à 59 et 77 du Code des Marchés Publics français déclaré infructueux."
17-46199,False,False,False,False,False,False,False,,False,False,,,,True,"L'accord-cadre est passé suivant la procédure adaptée en application des articles 27, 28 et 29ii du Décret 2016-360"
