BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
17-66288,False,False,False,False,False,True,False,,False,False,,,,False,La société MedEl est la seule à proposer le remplacement des ces dispositifs pour des patients déjà implantés ou équipés
17-66519,False,False,False,False,False,True,False,,False,False,,,,False,La société MedEl est la seule à proposer le remplacement de ces dispositifs pour des patients déjà implantés ou équipés
17-66567,False,False,False,False,False,False,False,,False,False,,,,True,Marché d'un montant inférieur aux seuils européens
17-66594,False,False,False,False,False,False,False,,False,False,,,,True,"Contrat attribué selon une procédure adaptée, d'un montant inférieur aux seuils fixés par les directives et pour lequel la publication préalable d'un avis de marché au JOUE n'est pas obligatoire."
17-67297,False,False,False,False,False,True,False,,False,False,,,,False,Le recours à la procédure négociée sans publicité ni mise en concurrence préalables est justifié au regard de l'acquisition d'un matériel exclusif (technologie brevetée).
17-67301,False,False,False,False,False,False,False,,False,False,,,,True,Le présent marché n'entre pas dans le champs de l'application de la directive 2014/24/UE du 26 février 2014 parce qu'il est inférieur aux seuils édictés à l'article 4 de la dite directive.
17-67332,False,False,False,True,False,False,False,,False,False,,,,False,"Le présent marché est passé selon les modalités procédurales suivantes :- sur procédure de : marché public négocié sans publicité ni mise en concurrence préalables (raisons artistiques, techniques, exclusivité)- en application des articles suivants de l'ordonnance (Ord) du 23 juillet 2015 et du décret (D) du 25 mars 2016 relatifs aux marchés publics : 42 (Ord), 30-I 3° (D)- décomposé selon le nombre de lot(s) suivant(s) : 1- détail du (des) lot(s) : Ce contrat est un marché de substitution. Il est destiné à regrouper dans un marché unique les équipements de nature similaire couverts par des contrats séparés et le marché suivant 2734."
17-67512,False,False,False,False,False,False,False,,False,False,,,,True,"La société SM Clean, titulaire du marché 2015-07, relatif au nettoiement des bâtiments communaux autres que les bâtiments scolaires, culturels, crèches, haltes garderies et toilettes publiques, fait lobjet de manquements récurrents aux obligations contractuelles du marché.Les courriers des 15 juillet 2016, 21 décembre 2016, 20 mars 2017 et 11 avril 2017 sont restés sans suite.Le 25 avril 2017, un courrier de mise en demeure avant résiliation du marché a été adressé à la société SM CleanSans réponse de la société, une procédure de résiliation du marché 2015-07 ainsi  quune relance du marché dans le respect des délais de consultation des procédures formalisées seront mises en uvre. S'agissant de problèmes dhygiène rencontrés dans les locaux communaux consécutifs à des circonstances imprévisibles et nétant pas de son fait, la Ville se voit dans lobligation de conclure un marché négocié sans publicité ni mise en concurrence préalables tel que prévu à larticle 30-I-1° du décret no2016-360 du 25 mars 2016. "
17-67685,False,False,False,False,False,False,False,,False,False,,,,True,Cet avis d'attribution est publié dans le cadre d'un marché de travaux passé selon la procédure adaptée (article 42-2 de l'ordonnance no2015-899 du 23/07/2015 relative aux marchés publics et articles 22 et 27 du décret no2016-360 du 25 mars 2016 relatif aux marchés publics). L'estimation de la consultation initiale est inférieure au seuil de procédure formalisée européen.Marché ayant fait l'objet d'un avis d'appel à la concurrence publié au Boamp selon le modèle de formulaire national français conformément à l'article 34.I.1°-b du décret no2016-360 du 25 mars 2016 relatif aux marchés publics et sous les références suivantes : Avis No 16-140696 publié le 27/09/2016
17-51792,False,False,False,False,False,True,False,,False,False,,,,False,Il s'agit d'un marché négocié sans mise en concurrence conformément à l'article 42-3° de l'Ordonnance no 2015-899 du 23 Juillet 2015 conclu dans les conditions de l'article 30-I-3° du Décret no 2016-360 du 25 Mars 2016
17-68408,True,False,False,False,False,False,False,,False,False,,,,False,"Marché négocié en application de l'article 30-I-2° du décret no 2016-360 du 25 mars 2016 relatif aux marchés publics qui permet aux pouvoirs adjudicateurs de conclure des marchés négociés sans publicité ni mise en concurrence préalables pour des marchés pour lesquels "" aucune candidature ou aucune offre n'a été déposée dans les délais prescrits (...) pour autant que les conditions initiales du marché public ne soient pas substantiellement modifiées "" (déclaration d'infructuosité)"
17-68616,False,False,False,False,False,True,False,,False,False,,,,False,"Conformément aux articles 30.I.3°c) et 78 du décret no2016-360 du 25/03/2016 relatif aux marchés publics, un accord cadre négocié a été passé en vue de conclure un accord-cadre à bons de commande de services pour la maintenance et l'évolution de la solution GEDIDOC/GEDIWEB et les prestations associées, compte-tenu des droits d'exclusivité."
17-68818,False,False,False,False,False,False,False,,False,False,,,,True,Avis d'intention de conclure qui fait suite à un concours restreint
17-69414,False,False,False,False,False,True,False,,False,False,,,,False,La société PHILIPS atteste être la seule société à pouvoir garantir les prestations de maintenance conformément aux spécifications usines et être la seule société en mesure de développer et de faire évoluer les versions logicielles intégrées dans les équipements qui font lobjet du marché.
17-70082,False,False,False,False,False,False,False,,False,True,,,,False,Marché négocié de maîtrise duvre conclu avec le lauréat du concours restreint
