BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
17-130019,2017-09-13 22:00:00,,2017-11-13 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,261,Panneaux,CF_NIV_SUIV,False,False,33,33,fourniture et impression de supports pour la signalétique pour le compte du Département de la Gironde à Bordeaux
17-130019,2017-09-13 22:00:00,,2017-11-13 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,333,Signalétique,CF_NIV_SUIV,False,False,33,33,fourniture et impression de supports pour la signalétique pour le compte du Département de la Gironde à Bordeaux
17-130021,2017-09-16 22:00:00,,2017-10-15 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,234,"Mission d'ordonnancement, pilotage, coordination (OPC)",CF_NIV_SUIV,False,False,69,,"Missions de CSPS, CT, OPC et ESSP pour la construction d'une maison de quartier - médiathèque au Mas du Taureau à Vaulx-en-Velin"
17-130021,2017-09-16 22:00:00,,2017-10-15 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,455,Ingénierie,CF_NIV_SUIV,False,False,69,,"Missions de CSPS, CT, OPC et ESSP pour la construction d'une maison de quartier - médiathèque au Mas du Taureau à Vaulx-en-Velin"
17-130022,2017-09-16 22:00:00,,2017-10-26 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,1,Abris,CF_NIV_SUIV,False,False,59,,"Etudes préalables à la définition des projets de renouvellement urbain de la CAMVS, en 4 lots distincts. Volet habitat et Volet social et sociologique"
17-130022,2017-09-16 22:00:00,,2017-10-26 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,118,Etude,CF_NIV_SUIV,False,False,59,,"Etudes préalables à la définition des projets de renouvellement urbain de la CAMVS, en 4 lots distincts. Volet habitat et Volet social et sociologique"
17-130023,2017-09-16 22:00:00,,2017-10-22 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,239,Nettoyage de locaux,CF_NIV_SUIV,False,True,75,,Prestation d'entretien pour les bureaux parisiens et nantais de l'AEFE
17-130023,2017-09-16 22:00:00,,2017-10-22 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,239,Nettoyage de locaux,CF_NIV_SUIV,False,True,44,,Prestation d'entretien pour les bureaux parisiens et nantais de l'AEFE
17-130023,2017-09-16 22:00:00,,2017-10-22 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,True,75,,Prestation d'entretien pour les bureaux parisiens et nantais de l'AEFE
17-130023,2017-09-16 22:00:00,,2017-10-22 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,True,44,,Prestation d'entretien pour les bureaux parisiens et nantais de l'AEFE
17-130024,2017-09-13 22:00:00,2017-10-13 11:00:00,2017-10-12 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,306,Réseaux divers,CF_NIV_SUIV,False,False,28,,nettoyage des réseaux et fosses d'eaux uses et pluviales
17-130024,2017-09-13 22:00:00,2017-10-13 11:00:00,2017-10-12 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,306,Réseaux divers,CF_NIV_SUIV,False,False,45,,nettoyage des réseaux et fosses d'eaux uses et pluviales
17-130025,2017-09-13 22:00:00,2017-10-09 11:00:00,2017-10-08 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,105,Electricité (travaux),CF_NIV_SUIV,False,False,59,,"travaux d'aménagement de muséographie de l'exposition "" l'histoire du monde en 100 objets du british museum "" présentée au musée des beaux-arts de valenciennes du 19 avril 2018 au 22 juillet 2018."
17-130025,2017-09-13 22:00:00,2017-10-09 11:00:00,2017-10-08 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,162,Informatique (matériel),CF_NIV_SUIV,False,False,59,,"travaux d'aménagement de muséographie de l'exposition "" l'histoire du monde en 100 objets du british museum "" présentée au musée des beaux-arts de valenciennes du 19 avril 2018 au 22 juillet 2018."
17-130025,2017-09-13 22:00:00,2017-10-09 11:00:00,2017-10-08 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,264,Peinture (travaux),CF_NIV_SUIV,False,False,59,,"travaux d'aménagement de muséographie de l'exposition "" l'histoire du monde en 100 objets du british museum "" présentée au musée des beaux-arts de valenciennes du 19 avril 2018 au 22 juillet 2018."
17-130025,2017-09-13 22:00:00,2017-10-09 11:00:00,2017-10-08 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,333,Signalétique,CF_NIV_SUIV,False,False,59,,"travaux d'aménagement de muséographie de l'exposition "" l'histoire du monde en 100 objets du british museum "" présentée au musée des beaux-arts de valenciennes du 19 avril 2018 au 22 juillet 2018."
17-130025,2017-09-13 22:00:00,2017-10-09 11:00:00,2017-10-08 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,409,Equipement muséographique,CF_NIV_SUIV,False,False,59,,"travaux d'aménagement de muséographie de l'exposition "" l'histoire du monde en 100 objets du british museum "" présentée au musée des beaux-arts de valenciennes du 19 avril 2018 au 22 juillet 2018."
17-130026,2017-09-13 22:00:00,2017-10-09 11:00:00,2017-10-08 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,163,Informatique (prestations de services),CF_NIV_SUIV,False,False,78,,Le présent marché a pour objet le recours à un prestataire pour la réalisation de la tierce maintenance applicative et la tierce maintenance évolutive du réseau social d'entreprise conçu par Inri
17-130027,2017-09-13 22:00:00,2017-10-09 15:00:00,2017-10-08 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,76,,marché de maitrise d'oeuvre pour la transplantation de la structure multi accueil au sein des locaux de l'ancien pôle emploi
17-130028,2017-09-13 22:00:00,2017-10-17 11:00:00,2017-10-16 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,True,40,,réalisation d'une couverture de la pompe à carburants et protection périphérique de l'aire de lavage des camions
17-130028,2017-09-13 22:00:00,2017-10-17 11:00:00,2017-10-16 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,True,33,,réalisation d'une couverture de la pompe à carburants et protection périphérique de l'aire de lavage des camions
17-130028,2017-09-13 22:00:00,2017-10-17 11:00:00,2017-10-16 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,True,64,,réalisation d'une couverture de la pompe à carburants et protection périphérique de l'aire de lavage des camions
17-130029,2017-09-21 22:00:00,2017-10-18 11:00:00,2017-10-17 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,196,Maintenance,CF_NIV_SUIV,False,False,64,,contrôle qualité (etalonnage) et maintenance corrective des ecme et cartographie d'enceintes positives et négatives
