BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
17-161087,MAIRIE DE MAUGUIO CARNON,None," BOURREL Yvon, Maire",,,Place de la Libération BP 20,34132,MAUGUIO,,04-67-29-05-00,,04-67-29-54-24,marchespublics@mauguio-carnon.com,http://www.mauguio-carnon.com,https://www.marches-publics.info,,,,,False,False,,False,False
17-161088,SYNDICAT ENERGIES HAUTE VIENNE,25870858500033,,,FRI23,"8 rue d'Anguernaud, Za Le Chatenet",87410,Le Palais Sur Vienne,,(+33) 5-55-35-04-30,,,sehv@sehv.fr,http://www.sehv.fr,http://www.marches-publics.info/,,http://www.marches-publics.info/,http://www.marches-publics.info/,,False,True,,False,True
17-161089,Conseil d'Etat,None,"Mme TISBA Vanessa, Conseil d'Etat - Direction de la prospective et des finances",,,1 Place du Palais Royal,75100,Paris,,01-72-60-56-67,,01-40-20-88-48,bureaumarchespublics@conseil-etat.fr,https://www.conseil-etat.fr,,,,,,False,False,,False,False
17-161090,CC RIOM LIMAGNE ET VOLCANS,None," BONNICHON Frédéric, Président",,,5 mail Jost Pasquier BP 80045,63201,Riom cedex,,04-73-67-11-00,,04-73-67-11-01,contact@rlv.eu,https://www.rlv.eu/,http://www.marches-publics.info/accueil.htm,,,,,False,False,,False,False
17-161091,Conseil général du Var,None," SANNIER LAURENT, Directeur",,,"Direction des Ressources Humaines, 390 Avenue des Lices - CS 41303",83076,TOULON,,04-83-95-01-62,,04-83-95-79-64,,http://www.var.fr,http://www.var.fr,,,,,False,False,,False,False
17-161092,MAIRIE DE RIVESALTES,None, M. le Maire,,,Place de L'Europe BP 102,66600,RIVESALTES,,04-68-38-59-59,,,mhcastany@rivesaltes.fr,http://www.rivesaltes.fr,,,,,,False,False,,False,False
17-161094,GPTAGGLO/VILLE/CCAS/OT,20006799900017,,,FRE,48 rue Desgroux,60021,Beauvais,,(+33) 3-44-79-40-00,,,marchespublics@beauvaisis.fr,http://mp.beauvaisis.fr,http://mp.beauvaisis.fr,,,,,False,True,,False,True
17-161098,Ville de Bourg de Péage,None,Mme Le Maire,,,Rue du Docteur Eynard BP 43,26301,Bourg de Péage,,04-75-72-74-00,,04-75-70-56-33,mboyer@mairiebdp.fr,http://www.bourgdepeage.com/,http://www.bourgdepeage.com/,,,,,False,False,,False,False
17-161099,CCAS de la Ville de Bourg de Péage,None,Mme La Présidente,,,Rue du Docteur Eynard BP 43,26301,Bourg de Péage,,04-75-72-74-74,,,,,,,,,,False,False,,False,False
17-161100,Ville de Bourg de Péage,None,Mme Le Maire,,,Rue du Docteur Eynard BP 43,26301,Bourg de Péage,,04-75-72-74-00,,04-75-70-56-33,mboyer@mairiebdp.fr,http://www.bourgdepeage.com/,http://www.bourgdepeage.com/,,,,,False,False,,False,False
17-161102,Département de la Charente,None, Le Président,,,"31 boulevard Emile Roux, CS 60 000",16917,ANGOULEME,,05-16-09-50-00,,05-16-09-51-86,marchespublics@lacharente.fr,http://www.lacharente.fr,http://marchespublics.lacharente.fr,,,,,False,False,,False,False
17-161103,SDIS 81,None, Service Finance et Commande Publique,,,15 rue de Jautzou,81012,ALBI CEDEX,,05-63-77-35-18,,05-63-77-35-98,marches.publics@sdis81.fr,http://sdis81.e-marchespublics.com,http://sdis81.e-marchespublics.com,,,,,False,False,,False,False
17-161104,COMMUNAUTE DE COMMUNES DES 2 VALLEES,None,Mme Rocher Marlene,,,9 rue du Maréchal Juin,60150,Thourotte,,03-44-96-31-00,,,juridique@cc2v.fr,,https://marchesonline.achatpublic.com/sdm/ent/gen/ent_recherche.do,,,,,False,False,,False,False
17-161105,Ville de Reims,None,,Pôle Services Urbains,FRF23,Hôtel de Ville - bureau 110 - CS80036,51722,Reims cedex,,(+33) 3-26-35-61-62,,(+33) 3-26-77-73-50,c3c.psu@reims.fr,http://www.reims.fr,https://marches.grandreims.fr,,,https://marches.grandreims.fr,,True,False,,False,True
17-161106,Voies navigables de France,None,,,FRJ2,2 port Saint-Etienne,31073,Toulouse,,,,,dtsud-ouest@vnf.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=356102&orgAcronyme=d4t,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=356102&orgAcronyme=d4t,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=356102&orgAcronyme=d4t,,False,True,,False,True
17-161107,MAS FOYER MONTECLAIR,None, Mr ROGE PASCAL,,,16 Rue du Parc,52700,Andelot-Blancheville,,03-25-01-33-97,,,masfm@wanadoo.fr,,,,,,,False,False,,False,False
17-161108,Ville du Puy-Sainte-Réparade,None,"Mme CHELAGHEMDIB LAETITIA, DGS",,,Avenue des Anciens Combattants,13610,LE PUY SAINTE REPARADE,,04-42-61-82-36,,04-42-61-95-87,dgs@mairie-lepuysaintereparade.fr,http://www.ville-lepuysaintereparade.fr/,http://www.ville-lepuysaintereparade.fr/,,,,,False,False,,False,False
17-161109,Commune de Porto-Vecchio,None,M. Georges Mela Le Maire,,,"Hôtel de Ville , BP A129",20537,Porto-vecchio cedex,,04-95-70-95-52,,04-95-70-95-33,marches.publics@porto-vecchio.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
17-161110,Ministère des Affaires étrangères,12000601000025,,,FR101,48 rue de Javel,75015,Paris,,,,,eric.trouilleux@diplomatie.gouv.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=327539&orgAcronyme=c8v,,,,,,False,True,,False,True
17-161111,Ministère de l'Intérieur,None,M. LARONCHE Christophe,,,Place Beauvau,75008,Paris cedex 08,,,,,,,,,,,,False,False,,False,False
17-161112,Mairie de Genas,None,,M. Amarez BONGHO,FRK26,Place du Général de Gaulle,69740,Genas,,(+33) -04-72-47-11-32,,,service.marches@ville-genas.fr,http://www.genas.fr,http://ville-genas.e-marchespublics.com,,,,,False,True,,False,True
17-161113,Conseil Général de Saône-et-Loire,22710001300688,,,FRC13,DAJ - Service Commande Publique et Assurances - Espace Duhesme - 18 rue de Flacé - CS 70126,71026,Mâcon cedex 9,,,,(+33) 3-85-39-76-52,daj@cg71.fr,http://www.saoneetloire71.fr,https://marches.e-bourgogne.fr,,https://marches.e-bourgogne.fr,https://marches.e-bourgogne.fr,,False,True,,False,True
17-161114,Ville de Vitry-sur-Seine,None,,,FR107,Hôtel de Ville 2 avenue Youri Gagarine,94407,Vitry sur seine cedex,,(+33) -01-46-82-82-33,,,frederic.laubreaux@mairie-vitry94.fr,http://vitry94.fr,https://vitry94.achatpublic.com/sdm/ent/gen/index.jsp,,https://vitry94.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2017_TBtDXKVrgZ,https://vitry94.achatpublic.com,,False,True,,False,True
17-161115,Concarneau Cornouaille Agglomération,None,,,FR,"1, Rue Victor Schoelcher",29186,Concarneau,,(+33) -02-98-50-38-97,,,marches@cca.bzh,https://marches.megalisbretagne.org,https://marches.megalisbretagne.org,,https://marches.megalisbretagne.org.,https://marches.megalisbretagne.org,,False,True,,False,True
17-161116,EPCMDN-Versailles,None,,"Direction administrative, financière et juridique (DAFJ) - Service de la commande publique & de la logistique (SCPL) - Secteur commande publique, Madame Christelle Schaal",FR103,RP 834,78008,Versailles cedex,,,,(+33) 1-30-83-73-29,smdaf@chateauversailles.fr,http://chateauversailles.achatpublic.com,http://www.chateauversailles.fr/homepage,,,,,False,True,,False,True
17-161117,Ministère économie finances industrie,None,"M. Magnien François, Sous-directeur de la prospective, des études et de l'évaluation économiques",,,67 rue Barbès - BP 80001,94201,Ivry sur seine cedex,,,,,,,,,,,,False,False,,False,False
17-161118,université de Rennes 1,None,,Pôle des Achats,FRH0,2 Rue du ThaborCS46510,None,Rennes cedex,,(+33) 2-23-23-36-70,,,marches@listes.univ-rennes1.fr,http://www.univ-rennes1.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=356587&amp;orgAcronyme=f2h,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=356587&amp;orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=356587&amp;orgAcronyme=f2h,,False,True,,False,True
17-161119,Cté d'agglomération du Bassin de Thau,None,,,FRJ13,"4, Avenue d'Aigues BP 600",34110,FRONTIGNAN,,(+33) 4-67-46-47-41,,(+33) 4-67-46-47-65,marches-publics@thau-agglo.fr,http://www.agglopole.fr,http://bassin-thau.marcoweb.fr,http://bassin-thau.marcoweb.fr/,http://bassin-thau.marcoweb.fr/,http://bassin-thau.marcoweb.fr/,,False,True,,False,True
17-161120,Ville de Béziers,None,"M. Ménard Robert, Maire",,,Place Gabriel Péri CS 60715,34508,Béziers cedex,,04-67-36-71-60,,04-67-36-73-79,marches@ville-beziers.fr,http://www.ville-beziers.fr,https://beziers.achatpublic.com,,,,,False,False,,False,False
17-161121,Val de garonne agglomeration,None,"M. Couralet Françoise, Val de Garonne Agglomération",,,Place du marché BP 70305,47213,Marmande cedex,,05-53-64-40-46,,,,http://www.vg-agglo.com,,,,,,False,False,,False,False
17-161122,DDFIP des Yvelines,13001494700019,,,FR103,16 avenue de Saint Cloud,78018,Versailles cedex,,,,,christine.le-gal@dgfip.finances.gouv.fr,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=356546&orgAcronyme=a4n,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=327300&orgAcronyme=a4n,,False,True,,False,True
17-161123,SICTOMSED,None,"M. PIERRE CROS, PRESIDENT",DESMARIES NICOLAS - CHABAL SEVERINE,,ZI La Palisse Allée des Vergers,07160,Le cheylard,,04-75-29-42-57,,,ndesmaries@sictomsed.fr,http://www.sictomsed.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
17-161124,Centre Hospitalier de Châteaubriant,None, Direction des services économiques et logistiques,,,Rue de Verdun - BP 229,44146,Chateaubriant cédex,,,,,,,,,,,,False,False,,False,False
17-161126,Ville de Gennevilliers,None, Philippe CLOCHETTE,,,"177, Avenue Gabriel Peri BP 217",92237,GENNEVILLIERS CEDEX,,,,,boamp@ville-gennevilliers.fr,http://gennevilliers.marcoweb.fr,http://gennevilliers.marcoweb.fr,,,,,False,False,,False,False
17-161128,STGA,32675050200022,,,FRI31,554 route de Bordeaux - BP 32322,16023,Angoulème,,,,,marches@stga.fr,http://www.stga.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2017_qYebSKa6Dv,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/index.jsp,False,True,,False,True
17-161130,Collectivité territoriale de Guyane,None,M. Le Président de la Collectivité territoriale,,,"4179, Route Montabo Carrefour de Suzini - BP 47025",97307,Cayenne Cédex,GF,05-94-30-06-00,,,smp@ctguyane.fr,http://www.ctguyane.fr,http://ctguyane.marcoweb.fr,,,,,False,False,,False,False
17-161131,Région Auvergne-Rhône-Alpes,None,,,FRK,1 esplanade François Mitterrand,69269,Lyon cedex 02,,,,,dacha_avis@auvergnerhonealpes.fr,http://www.auvergnerhonealpes.eu/,https://marchespublics.auvergnerhonealpes.eu,,,,,False,True,,False,True
17-161132,Région Île-de-France,23750007900015,,"Monsieur Arnaud MOUSSARIE, Responsable d'Opérations, Tél : +33 183653721, courriel : a.moussarie@saerp.fr, Fax : +33 184670091",FR1,"SAERP 90-92 avenue du Général Leclerc CS 40087, F",93697,Pantin,,(+33) 1-83-65-37-21,,(+33) 1-84-67-00-91,a.moussarie@saerp.fr,http://www.iledefrance.fr/marches-publics,https://marches.maximilien.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=254707&orgAcronyme=t5y,,,,,False,True,,False,True
17-161133,CC MEDOC COEUR DE PRESQU ILE,None,"M. Cintrat Lucien, Cdc médoc coeur de presqu'ile",,,10 place du Maréchal Foch,33341,Lesparre médoc cedex,,05-56-41-66-60,,05-56-41-04-35,cdc@medoc-cpi.fr,,,,,,,False,False,,False,False
17-161134,Hôpitaux Universitaires Paris Ouest,None,"Mlle LODEY Margo, Acheteur",Cellule des Marchés,,20 rue Leblanc,75015,Paris,,01-56-09-27-53,,01-56-09-20-58,cellule.marches@egp.aphp.fr,http://www.aphp.fr,,,,,,False,False,,False,False
17-161135,EPAFRANCE,None,,Monsieur Ludovic THIBAULT,FR102,"5, Boulevard Pierre Carle CS60084 NOISIEL",77448,Marne la vallee cedex 2,,(+33) 1-64-62-44-30,,,l.thibault@epa-marnelavallee.fr,https://www.epamarne-epafrance.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ach/gen/ach_home.do?PCSLID=CSL_2017_LUYnGyygUj&v=1,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2017_LUYnGyygUj&v=1&selected=0,,False,True,,False,True
17-161136,Ville de Puteaux,None,,Service des marchés publics,FR105,131 rue de la République,92800,Puteaux,,(+33) 1-46-92-92-53,,(+33) 1-46-92-93-95,marchespublics@mairie-puteaux.fr,http://puteaux.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,True,False,,False,True
17-161137,Commune d'Heudebouville,None,Monsieur le Maire,,,place Paul Vaur,27400,Heudebouville,,02-32-40-17-50,,02-32-40-95-31,mairie.heudebouville@wanadoo.fr,http://www.heudebouville.fr/,http://www.mpe27.fr,,,,,False,False,,False,False
17-161138,Caisse des Dépôts,None,"Mme GUERET-BECKER Laurence, Rédacteur",,,56 rue de Lille,75356,Paris,,01-58-50-38-23,,,laurence.gueret-becker@caissedesdepots.fr,http://caissedesdepots.fr,http://marches.caissedesdepots.fr,,,,,False,False,,False,False
17-161139,SDIS des Bouches-du-Rhône,None,,,FRL04,"1 av Boisbaudran, ZI Delorme",13326,Marseille cedex 15,,(+33) 4-91-28-47-47,,(+33) 4-91-28-49-36,marche@sdis13.fr,http://www.sdis13.fr/,http://sdis13.e-marchespublics.com,,http://sdis13.e-marchespublics.com,http://sdis13.e-marchespublics.com,,False,True,,False,True
17-161140,Collectivité de Saint Martin,None, Mme la présidente Aline HANSON,,,Hôtel de la Collectivité - MarigotBP 374,97054,Saint Martin,,(+33) 5-90-87-50-04,,(+33) 5-90-87-03-93,aline.hanson@com-saint-martin.fr,http://www.com-saint-martin.fr,,,,,,False,False,,False,False
17-161141,Ville de Paris,None,,,FR101,17 boulevard Morland,75181,Paris cedex 04,,,,,dfa-bm2@paris.fr,http://www.paris.fr,https://marches.maximilien.fr,,,,,False,True,,False,True
17-161142,Centre Hospitalier d'Oloron,None,,,FRI15,Avenue Fleming BP 160,64404,Oloron ste marie,,(+33) 5-59-88-30-30,,,direction@ch-oloron.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
