BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
11-147378,False,False,False,False,True,False,
16-118229,False,False,False,False,False,False,EPST
16-151799,False,False,False,False,False,False,EPSCP
16-74111,False,False,True,False,False,False,
16-95500,False,False,False,False,False,False,Métropole de Lyon-Direction Ressources - Eau/déchets - unité marchés publics.
17-101169,False,False,False,False,False,False,Société d'Economie Mixte
17-101274,False,False,False,False,False,False,Syndicat mixte départemental d'études et de traitement des déchets ménagers et assimilés de la Vendée
17-102735,False,False,True,False,False,False,
17-103365,True,False,False,False,False,False,
17-103618,False,False,False,False,False,False,collectivité territoriale
17-104714,False,False,True,False,False,False,
17-104718,False,False,True,False,False,False,
17-108367,False,False,True,False,False,False,
17-108849,False,False,False,False,False,False,Etablissement public autonome
17-108871,False,False,False,False,False,False,Organisme de droit privé de la MSA
17-112169,False,False,True,False,False,False,
17-112245,False,False,False,False,False,False,Délégation de service public
17-113382,False,False,True,False,False,False,
17-113405,False,False,False,False,True,False,
17-114471,False,False,False,False,True,False,
17-115808,False,False,True,False,False,False,
17-119748,False,False,True,False,False,False,
17-119936,False,False,True,False,False,False,
17-120927,False,False,False,False,True,False,
17-121355,False,False,False,False,False,False,Collectivité territoriale
17-121365,False,False,False,False,False,False,Collectivité territoriale
17-121521,False,False,True,False,False,False,
17-122444,False,False,False,False,True,False,
17-122673,False,False,True,False,False,False,
17-123125,False,False,False,False,False,False,Etablissement public de santé
17-123135,False,False,False,False,False,False,Etablissement public de santé
17-123219,True,False,False,False,False,False,
17-123323,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
17-124045,False,False,True,False,False,False,
17-124218,False,False,True,False,False,False,
17-124396,False,False,True,False,False,False,
17-125618,True,False,False,False,False,False,
17-125776,False,False,False,False,False,False,collectivité territoriale
17-127738,False,False,True,False,False,False,
17-128272,False,False,True,False,False,False,
17-128646,True,False,False,False,False,False,
17-128839,False,False,True,False,False,False,
17-128916,False,False,False,False,False,False,Collectivité Territoriale
17-129037,False,False,False,True,False,False,
17-129370,False,False,True,False,False,False,
17-129579,False,False,False,False,True,False,
17-129597,True,False,False,False,False,False,
17-130237,False,False,True,False,False,False,
17-131397,False,False,True,False,False,False,
17-131965,False,False,True,False,False,False,
17-132016,False,False,True,False,False,False,
17-132875,False,False,False,False,True,False,
17-133299,False,False,False,False,True,False,
17-133549,False,False,True,False,False,False,
17-134036,False,False,True,False,False,False,
17-134365,False,False,True,False,False,False,
17-134470,False,False,False,False,False,False,EPCI
17-135567,False,False,True,False,False,False,
17-135574,False,False,True,False,False,False,
17-135651,False,False,True,False,False,False,
17-136056,False,False,False,False,True,False,
17-136129,True,False,False,False,False,False,
17-136271,False,False,False,False,False,False,SEM
17-136273,False,False,True,False,False,False,
17-136406,False,False,True,False,False,False,
17-136625,False,False,False,False,False,False,EPCI
17-136999,False,False,True,False,False,False,
17-137021,False,False,True,False,False,False,
17-137753,False,False,True,False,False,False,
17-137989,False,False,False,False,False,False,organisme privé de service public
17-138070,False,False,True,False,False,False,
17-138173,False,False,True,False,False,False,
17-138192,True,False,False,False,False,False,
17-138266,False,False,True,False,False,False,
17-138376,False,False,False,False,True,False,
17-138445,False,False,True,False,False,False,
17-138491,False,False,False,False,False,False,Collectivité Territoriale
17-138840,False,False,True,False,False,False,
17-139635,False,False,False,False,True,False,
17-139816,False,False,True,False,False,False,
17-139842,False,False,False,False,False,False,Groupement de coopération sanitaire
17-140155,False,False,True,False,False,False,
17-140183,False,False,True,False,False,False,
17-140380,False,False,True,False,False,False,
17-140476,False,False,False,False,False,False,Collectivité terrtoriale à statut particulier
17-140615,False,False,True,False,False,False,
17-140812,False,False,False,False,True,False,
17-140835,False,False,False,False,True,False,
17-141063,False,False,True,False,False,False,
17-141101,False,False,True,False,False,False,
17-141114,False,False,False,False,True,False,
17-141212,True,False,False,False,False,False,
17-141603,False,False,True,False,False,False,
17-141651,False,False,True,False,False,False,
17-141661,False,False,False,False,False,False,collectivité territoriale à statut particulier
17-141744,False,False,False,False,True,False,
17-141900,False,False,False,False,False,False,Collectivité territoriale
17-142427,False,False,True,False,False,False,
17-142590,False,False,True,False,False,False,
17-142666,False,False,False,False,True,False,
17-142816,False,False,True,False,False,False,
17-142817,False,False,True,False,False,False,
17-143055,False,False,True,False,False,False,
17-143175,True,False,False,False,False,False,
17-143270,False,False,False,True,False,False,
17-143285,False,False,True,False,False,False,
17-143379,False,False,True,False,False,False,
17-143394,False,False,False,False,True,False,
17-143409,False,False,True,False,False,False,
17-143563,False,False,True,False,False,False,
17-143676,True,False,False,False,False,False,
17-143723,False,False,False,False,True,False,
17-143741,False,False,True,False,False,False,
17-143867,False,False,False,False,False,False,Etablissement Public de Santé
17-143949,True,False,False,False,False,False,
17-144001,True,False,False,False,False,False,
17-144212,False,False,True,False,False,False,
17-144323,False,False,True,False,False,False,
17-144496,False,False,True,False,False,False,
17-144593,False,False,False,False,False,False,collectivité territoriale
17-144610,False,False,False,False,False,False,Etablissement de santé
17-144726,False,False,True,False,False,False,
17-144779,False,False,True,False,False,False,
17-145225,False,False,False,False,False,False,Etablissement public de coopération intercommunale
17-145230,False,False,False,False,False,False,EPCI
17-145357,False,False,True,False,False,False,
17-145371,False,False,True,False,False,False,
17-145435,False,False,False,False,False,False,EPCI
17-145478,False,False,True,False,False,False,
17-145602,False,False,True,False,False,False,
17-145739,False,False,True,False,False,False,
17-145956,False,False,True,False,False,False,
17-146120,False,False,True,False,False,False,
17-146121,False,False,True,False,False,False,
17-146217,False,False,True,False,False,False,
17-146279,False,False,True,False,False,False,
17-146310,False,False,True,False,False,False,
17-146316,False,False,True,False,False,False,
17-146365,False,False,True,False,False,False,
17-146424,False,False,True,False,False,False,
17-146453,False,False,True,False,False,False,
17-146477,False,False,False,False,False,False,étalbissement public de coopération intercommunale
17-146489,False,False,False,False,False,False,Syndicat intercommunal
17-146518,False,False,False,False,True,False,
17-146561,False,False,True,False,False,False,
17-146706,False,False,True,False,False,False,
17-146731,False,False,False,False,False,False,Etablissement public de santé
17-146783,False,False,True,False,False,False,
17-146800,True,False,False,False,False,False,
17-146885,False,False,True,False,False,False,
17-146894,False,False,False,False,True,False,
