BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
17-160089,False,False,False,False,False,False,Syndicat
17-160090,False,False,False,False,False,False,"Etablissement et organisme de l'enseignement supérieur, de la recherche et de l'innovation"
17-160092,False,False,False,False,True,False,
17-160094,False,False,False,False,False,False,établissement public de santé
17-160099,False,False,True,False,False,False,
17-160100,False,False,False,False,False,False,Société Publique Locale d'Aménagement
17-160103,False,False,True,False,False,False,
17-160110,False,False,True,False,False,False,
17-160114,False,False,True,False,False,False,
17-160120,False,False,True,False,False,False,
17-160122,False,False,False,False,False,False,collectivité territoriale
17-160123,False,False,True,False,False,False,
17-160124,False,False,True,False,False,False,
17-160127,False,False,False,False,True,False,
17-160131,False,False,True,False,False,False,
17-160134,False,False,False,False,True,False,
17-160135,False,False,True,False,False,False,
17-160141,True,False,False,False,False,False,
17-160142,False,False,False,False,True,False,
17-160144,True,False,False,False,False,False,
17-160146,False,False,True,False,False,False,
17-160147,True,False,False,False,False,False,
17-160151,False,False,False,False,False,False,Santé
17-160153,False,False,False,False,False,False,Groupe Hospitalier Paul Guiraud
17-160155,False,False,False,False,False,False,Groupement d'Intérêt Public
17-160160,False,False,False,False,True,False,
17-160165,False,False,False,False,False,False,Etablissement public d'hébergement des personnes âgées dépendantes
17-160178,False,False,False,False,True,False,
17-160182,False,False,True,False,False,False,
17-160187,False,False,False,False,False,False,Santé
17-160188,False,False,False,False,True,False,
17-160190,False,False,True,False,False,False,
17-160195,False,False,True,False,False,False,
17-160196,False,False,True,False,False,False,
17-160199,False,False,False,False,False,False,Fonction publique hospitalière
17-160201,False,False,False,True,False,False,
17-160207,False,False,True,False,False,False,
17-160217,False,False,True,False,False,False,
17-160218,False,False,False,False,False,False,Etablissement public de santé
17-160219,False,False,False,True,False,False,
17-160223,False,False,False,False,True,False,
17-160224,False,False,True,False,False,False,
17-160229,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
17-160231,False,False,True,False,False,False,
17-160233,False,False,True,False,False,False,
17-160236,False,False,True,False,False,False,
17-160239,False,False,True,False,False,False,
17-160241,True,False,False,False,False,False,
